shop_no,coupon_no,coupon_type,coupon_name,coupon_description,created_date,deleted,is_stopped_issued_coupon,pause_begin_datetime,pause_end_datetime,benefit_text,benefit_type,benefit_price,benefit_percentage,benefit_percentage_round_unit,benefit_percentage_max_price,include_regional_shipping_rate,include_foreign_delivery,coupon_direct_url,issue_type,issue_sub_type,issue_member_join,issue_member_join_recommend,issue_member_join_type,issue_order_amount_type,issue_order_start_date,issue_order_end_date,issue_order_amount_limit,issue_order_amount_min,issue_order_amount_max,issue_order_path,issue_order_type,issue_order_available_product,issue_order_available_category,issue_anniversary_type,issue_anniversary_pre_issue_day,issue_module_type,issue_review_count,issue_review_has_image,issue_quantity_min,issue_quntity_type,issue_max_count,issue_max_count_by_user,issue_count_per_once,issued_count,issue_member_group_no,issue_member_group_name,issue_no_purchase_period,issue_reserved,issue_reserved_date,available_date,available_period_type,available_begin_datetime,available_end_datetime,available_site,available_scope,available_day_from_issued,available_price_type,available_order_price_type,available_min_price,available_amount_type,available_payment_method,available_product,available_product_list,available_category,available_category_list,available_coupon_count_by_order,serial_generate_method,coupon_image_type,coupon_image_path,show_product_detail,use_notification_when_login,send_sms_for_issue,send_email_for_issue
1,6074972499500000679,S,카카오톡 플친 특별 쿠폰 2023,카카오톡 신규 회원 2023,2023-02-17 17:56:34,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,"5.0% 할인,절사안함,최대할인금액 989999KRW",B,,5.0,0.1,989999.00,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,,,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,99999,,,99,,,,F,0000-00-00 00:00:00,발급일로부터 4일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,4,U,,,I,all,U,,U,,1,M,,,F,F,F,F
1,6074833806900000658,O,2023 3월 쿠폰 (4월까지 사용 가능해요),2023 2월 동봉물 3월 쿠폰,2023-02-01 16:41:09,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,"35.0% 할인,절사안함,최대할인금액 99999KRW",B,,35.0,0.1,99999.00,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,D,M,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,,,,0,,,,F,0000-00-00 00:00:00,2023-02-28 00:00 ~ 2023-04-30 23:00,F,2023-02-28 00:00:00,2023-04-30 23:00:00,"W,M",O,,U,,,I,all,U,,U,,1,,B,,F,T,T,T
1,6074833800600000657,O,2023 2월 쿠폰 (3월까지 사용 가능해요),2023 2월 동봉물 2월 쿠폰,2023-02-01 16:40:05,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,"30.0% 할인,절사안함,최대할인금액 10000000KRW",B,,30.0,0.1,10000000.00,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,D,M,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,,,,0,,,,F,0000-00-00 00:00:00,2023-02-01 00:00 ~ 2023-03-31 23:00,F,2023-02-01 00:00:00,2023-03-31 23:00:00,"W,M",O,,U,,,E,all,U,,U,,1,,B,,F,T,T,F
1,6074668671400000615,O,평생회원 전환 쿠폰,,2023-01-13 13:58:34,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,4000KRW 할인,A,4000.00,,,,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,M,M,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,,,,2765,,,,F,0000-00-00 00:00:00,발급일로부터 10일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,10,O,U,10000.00,I,all,U,,U,,1,,B,,F,F,F,F
1,6074658955500000611,O,LOVER 사랑해요,,2023-01-12 10:59:14,F,F,0000-00-00 00:00:00,0000-00-00 00:00:00,"55.0% 할인,절사안함,최대할인금액 9999999KRW",B,,55.0,0.1,9999999.00,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,M,M,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,,,,28,,,,F,0000-00-00 00:00:00,발급일로부터 7일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,7,O,U,10000.00,I,all,U,,U,,1,,B,,F,T,T,T
1,6074634710700000600,O,Eat Healthy 펨감마리놀렌산 할인쿠폰,,2023-01-10 08:06:27,F,F,2023-02-08 15:30:00,0000-00-00 00:00:00,1000KRW 할인,A,1000.00,,,,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,D,M,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,,,,17,,,,F,0000-00-00 00:00:00,발급일로부터 3일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,3,U,,,E,all,I,520;522;523,U,,1,,B,,F,F,F,F
1,6074634698900000599,O,더 달큰해질 우리의 사랑 펨마카 할인 쿠폰,,2023-01-09 16:35:57,F,F,2023-02-08 15:31:00,0000-00-00 00:00:00,1000KRW 할인,A,1000.00,,,,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,D,M,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,,,,27,,,,F,0000-00-00 00:00:00,발급일로부터 3일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,3,U,,,E,all,I,519;520;521;522;523,U,,1,,B,,F,F,F,F
1,6074487473400000566,O,윈터세일 선착순 쿠폰 23일,,2022-12-23 15:29:28,F,F,2023-02-08 15:31:00,0000-00-00 00:00:00,5000KRW 할인,A,5000.00,,,,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,D,M,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,202,,,202,,,,F,0000-00-00 00:00:00,발급일로부터 3일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,3,O,U,20000.00,I,all,U,,U,,1,,B,,F,F,F,F
1,6074485676400000564,O,윈터세일 선착순 쿠폰 25일,,2022-12-23 15:29:16,F,F,2023-02-08 15:31:00,0000-00-00 00:00:00,5000KRW 할인,A,5000.00,,,,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,D,M,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,202,,,202,,,,F,0000-00-00 00:00:00,발급일로부터 3일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,3,O,U,20000.00,I,all,U,,U,,1,,B,,F,F,F,F
1,6074485671000000563,O,윈터세일 선착순 쿠폰 24일,,2022-12-23 15:29:05,F,F,2023-02-08 15:31:00,0000-00-00 00:00:00,5000KRW 할인,A,5000.00,,,,F,F,/exec/front/newcoupon/IssueDownload?coupon_no=,D,M,F,F,,,0000-00-00 00:00:00,0000-00-00 00:00:00,,,,,O,U,U,,,,,F,,,202,,,202,,,,F,0000-00-00 00:00:00,발급일로부터 3일 이내,R,0000-00-00 00:00:00,0000-00-00 00:00:00,"W,M",O,3,O,U,20000.00,I,all,U,,U,,1,,B,,F,T,T,F
