date,signin,total
2019-01-01,13,13
2019-01-02,18,31
2019-01-03,10,41
2019-01-04,8,49
2019-01-05,10,59
2019-01-06,11,70
2019-01-07,11,81
2019-01-08,13,94
2019-01-09,9,103
2019-01-10,9,112
2019-01-11,5,117
2019-01-12,5,122
2019-01-13,5,127
2019-01-14,12,139
2019-01-15,14,153
2019-01-16,25586,25739
2019-01-17,59,25798
2019-01-18,51,25849
2019-01-19,13,25862
2019-01-20,61,25923
2019-01-21,40,25963
2019-01-22,56,26019
2019-01-23,51,26070
2019-01-24,50,26120
2019-01-25,43,26163
2019-01-26,10,26173
2019-01-27,59,26232
2019-01-28,41,26273
2019-01-29,63,26336
2019-01-30,70,26406
2019-01-31,30,26436
2019-02-01,18,26454
2019-02-02,6,26460
2019-02-03,39,26499
2019-02-04,36,26535
2019-02-05,25,26560
2019-02-06,31,26591
2019-02-07,65,26656
2019-02-08,70,26726
2019-02-09,10,26736
2019-02-10,102,26838
2019-02-11,42,26880
2019-02-12,67,26947
2019-02-13,43,26990
2019-02-14,50,27040
2019-02-15,47,27087
2019-02-16,6,27093
2019-02-17,70,27163
2019-02-18,50,27213
2019-02-19,44,27257
2019-02-20,46,27303
2019-02-21,50,27353
2019-02-22,37,27390
2019-02-23,8,27398
2019-02-24,46,27444
2019-02-25,42,27486
2019-02-26,49,27535
2019-02-27,44,27579
2019-02-28,65,27644
2019-03-01,8,27652
2019-03-02,51,27703
2019-03-03,41,27744
2019-03-04,35,27779
2019-03-05,19,27798
2019-03-06,24,27822
2019-03-07,0,27822
2019-03-08,1,27823
2019-03-09,0,27823
2019-03-10,2,27825
2019-03-11,3,27828
2019-03-12,1,27829
2019-03-13,0,27829
2019-03-14,1,27830
2019-03-15,8,27838
2019-03-16,80,27918
2019-03-17,75,27993
2019-03-18,109,28102
2019-03-19,81,28183
2019-03-20,71,28254
2019-03-21,75,28329
2019-03-22,10,28339
2019-03-23,100,28439
2019-03-24,66,28505
2019-03-25,84,28589
2019-03-26,75,28664
2019-03-27,81,28745
2019-03-28,73,28818
2019-03-29,11,28829
2019-03-30,79,28908
2019-03-31,73,28981
2019-04-01,97,29078
2019-04-02,96,29174
2019-04-03,85,29259
2019-04-04,77,29336
2019-04-05,9,29345
2019-04-06,79,29424
2019-04-07,63,29487
2019-04-08,85,29572
2019-04-09,78,29650
2019-04-10,78,29728
2019-04-11,79,29807
2019-04-12,10,29817
2019-04-13,90,29907
2019-04-14,56,29963
2019-04-15,90,30053
2019-04-16,81,30134
2019-04-17,79,30213
2019-04-18,64,30277
2019-04-19,12,30289
2019-04-20,72,30361
2019-04-21,65,30426
2019-04-22,86,30512
2019-04-23,79,30591
2019-04-24,94,30685
2019-04-25,77,30762
2019-04-26,7,30769
2019-04-27,76,30845
2019-04-28,67,30912
2019-04-29,85,30997
2019-04-30,61,31058
2019-05-01,64,31122
2019-05-02,85,31207
2019-05-03,6,31213
2019-05-04,100,31313
2019-05-05,49,31362
2019-05-06,64,31426
2019-05-07,86,31512
2019-05-08,78,31590
2019-05-09,79,31669
2019-05-10,7,31676
2019-05-11,84,31760
2019-05-12,60,31820
2019-05-13,110,31930
2019-05-14,100,32030
2019-05-15,90,32120
2019-05-16,89,32209
2019-05-17,9,32218
2019-05-18,119,32337
2019-05-19,93,32430
2019-05-20,87,32517
2019-05-21,86,32603
2019-05-22,75,32678
2019-05-23,85,32763
2019-05-24,9,32772
2019-05-25,108,32880
2019-05-26,89,32969
2019-05-27,93,33062
2019-05-28,113,33175
2019-05-29,112,33287
2019-05-30,100,33387
2019-05-31,15,33402
2019-06-01,106,33508
2019-06-02,75,33583
2019-06-03,129,33712
2019-06-04,102,33814
2019-06-05,74,33888
2019-06-06,70,33958
2019-06-07,19,33977
2019-06-08,132,34109
2019-06-09,103,34212
2019-06-10,115,34327
2019-06-11,119,34446
2019-06-12,85,34531
2019-06-13,89,34620
2019-06-14,11,34631
2019-06-15,121,34752
2019-06-16,90,34842
2019-06-17,98,34940
2019-06-18,117,35057
2019-06-19,102,35159
2019-06-20,93,35252
2019-06-21,11,35263
2019-06-22,109,35372
2019-06-23,61,35433
2019-06-24,90,35523
2019-06-25,101,35624
2019-06-26,101,35725
2019-06-27,78,35803
2019-06-28,15,35818
2019-06-29,105,35923
2019-06-30,68,35991
2019-07-01,123,36114
2019-07-02,203,36317
2019-07-03,184,36501
2019-07-04,195,36696
2019-07-05,22,36718
2019-07-06,240,36958
2019-07-07,130,37088
2019-07-08,161,37249
2019-07-09,148,37397
2019-07-10,173,37570
2019-07-11,172,37742
2019-07-12,10,37752
2019-07-13,172,37924
2019-07-14,133,38057
2019-07-15,199,38256
2019-07-16,180,38436
2019-07-17,139,38575
2019-07-18,85,38660
2019-07-19,6,38666
2019-07-20,115,38781
2019-07-21,83,38864
2019-07-22,124,38988
2019-07-23,133,39121
2019-07-24,103,39224
2019-07-25,104,39328
2019-07-26,5,39333
2019-07-27,147,39480
2019-07-28,79,39559
2019-07-29,87,39646
2019-07-30,92,39738
2019-07-31,96,39834
2019-08-01,117,39951
2019-08-02,10,39961
2019-08-03,137,40098
2019-08-04,97,40195
2019-08-05,121,40316
2019-08-06,115,40431
2019-08-07,111,40542
2019-08-08,114,40656
2019-08-09,10,40666
2019-08-10,180,40846
2019-08-11,126,40972
2019-08-12,172,41144
2019-08-13,136,41280
2019-08-14,139,41419
2019-08-15,88,41507
2019-08-16,16,41523
2019-08-17,174,41697
2019-08-18,82,41779
2019-08-19,152,41931
2019-08-20,120,42051
2019-08-21,121,42172
2019-08-22,95,42267
2019-08-23,11,42278
2019-08-24,119,42397
2019-08-25,62,42459
2019-08-26,109,42568
2019-08-27,117,42685
2019-08-28,98,42783
2019-08-29,99,42882
2019-08-30,16,42898
2019-08-31,136,43034
2019-09-01,81,43115
2019-09-02,115,43230
2019-09-03,91,43321
2019-09-04,103,43424
2019-09-05,128,43552
2019-09-06,16,43568
2019-09-07,167,43735
2019-09-08,88,43823
2019-09-09,90,43913
2019-09-10,68,43981
2019-09-11,55,44036
2019-09-12,53,44089
2019-09-13,10,44099
2019-09-14,119,44218
2019-09-15,116,44334
2019-09-16,142,44476
2019-09-17,128,44604
2019-09-18,125,44729
2019-09-19,101,44830
2019-09-20,8,44838
2019-09-21,143,44981
2019-09-22,98,45079
2019-09-23,103,45182
2019-09-24,93,45275
2019-09-25,107,45382
2019-09-26,86,45468
2019-09-27,5,45473
2019-09-28,99,45572
2019-09-29,90,45662
2019-09-30,98,45760
2019-10-01,117,45877
2019-10-02,151,46028
2019-10-03,90,46118
2019-10-04,8,46126
2019-10-05,140,46266
2019-10-06,62,46328
2019-10-07,110,46438
2019-10-08,86,46524
2019-10-09,59,46583
2019-10-10,94,46677
2019-10-11,8,46685
2019-10-12,130,46815
2019-10-13,81,46896
2019-10-14,95,46991
2019-10-15,84,47075
2019-10-16,81,47156
2019-10-17,75,47231
2019-10-18,3,47234
2019-10-19,103,47337
2019-10-20,60,47397
2019-10-21,98,47495
2019-10-22,96,47591
2019-10-23,75,47666
2019-10-24,78,47744
2019-10-25,4,47748
2019-10-26,86,47834
2019-10-27,62,47896
2019-10-28,79,47975
2019-10-29,81,48056
2019-10-30,88,48144
2019-10-31,78,48222
2019-11-01,12,48234
2019-11-02,114,48348
2019-11-03,79,48427
2019-11-04,95,48522
2019-11-05,89,48611
2019-11-06,85,48696
2019-11-07,75,48771
2019-11-08,8,48779
2019-11-09,115,48894
2019-11-10,80,48974
2019-11-11,79,49053
2019-11-12,89,49142
2019-11-13,70,49212
2019-11-14,89,49301
2019-11-15,6,49307
2019-11-16,82,49389
2019-11-17,69,49458
2019-11-18,87,49545
2019-11-19,76,49621
2019-11-20,75,49696
2019-11-21,65,49761
2019-11-22,5,49766
2019-11-23,72,49838
2019-11-24,56,49894
2019-11-25,85,49979
2019-11-26,80,50059
2019-11-27,61,50120
2019-11-28,59,50179
2019-11-29,8,50187
2019-11-30,77,50264
2019-12-01,66,50330
2019-12-02,87,50417
2019-12-03,80,50497
2019-12-04,82,50579
2019-12-05,70,50649
2019-12-06,6,50655
2019-12-07,95,50750
2019-12-08,50,50800
2019-12-09,188,50988
2019-12-10,187,51175
2019-12-11,170,51345
2019-12-12,127,51472
2019-12-13,14,51486
2019-12-14,181,51667
2019-12-15,128,51795
2019-12-16,175,51970
2019-12-17,160,52130
2019-12-18,176,52306
2019-12-19,116,52422
2019-12-20,17,52439
2019-12-21,279,52718
2019-12-22,180,52898
2019-12-23,126,53024
2019-12-24,107,53131
2019-12-25,68,53199
2019-12-26,95,53294
2019-12-27,16,53310
2019-12-28,120,53430
2019-12-29,63,53493
2019-12-30,84,53577
2019-12-31,57,53634
2020-01-01,68,53698
2020-01-02,128,53820
2020-01-03,10,53828
2020-01-04,137,53963
2020-01-05,83,54042
2020-01-06,85,54124
2020-01-07,87,54207
2020-01-08,86,54292
2020-01-09,97,54385
2020-01-10,5,54387
2020-01-11,116,54502
2020-01-12,65,54565
2020-01-13,81,54644
2020-01-14,84,54728
2020-01-15,91,54814
2020-01-16,93,29329
2020-01-17,8,29284
2020-01-18,106,29341
2020-01-19,65,29403
2020-01-20,81,29428
2020-01-21,69,29463
2020-01-22,56,29470
2020-01-23,45,29473
2020-01-24,7,29433
2020-01-25,61,29457
2020-01-26,50,29504
2020-01-27,97,29546
2020-01-28,112,29626
2020-01-29,89,29659
2020-01-30,78,29670
2020-01-31,12,29656
2020-02-01,114,29752
2020-02-02,75,29825
2020-02-03,86,29875
2020-02-04,93,29936
2020-02-05,109,30023
2020-02-06,105,30104
2020-02-07,15,30064
2020-02-08,122,30123
2020-02-09,88,30207
2020-02-10,90,30206
2020-02-11,107,30279
2020-02-12,103,30322
2020-02-13,84,30369
2020-02-14,11,30339
2020-02-15,121,30415
2020-02-16,68,30481
2020-02-17,97,30517
2020-02-18,78,30553
2020-02-19,87,30599
2020-02-20,75,30639
2020-02-21,11,30604
2020-02-22,93,30663
2020-02-23,83,30745
2020-02-24,81,30787
