shop_no,product_no,product_code,custom_product_code,product_name,eng_product_name,supply_product_name,internal_product_name,model_name,price_excluding_tax,price,retail_price,supply_price,display,selling,summary_description,adult_certification,made_in_code,product_weight,product_material,created_date,updated_date,sold_out,additional_price,shipping_fee_by_product,shipping_fee_type
1,532,P00000UM,,[추가구성품]체레미 마카 쇼핑백,,,,,1818.00,2000.00,0.00,2000.00,T,T,,F,KR,1.00,,23-01-31 17:16:27,23-02-13 10:36:56,F,0.00,F,M
1,523,P00000UD,,멀티케어 세트,,,,,34727.00,38200.00,47700.00,47700.00,T,T,펨 마카 2개 + 펨 감마 1개로 멀티 케어,F,KR,1.00,,23-01-09 18:49:04,23-03-06 15:12:31,F,0.00,F,M
1,522,P00000UC,,[설 한정기획] 펨감마 선물세트,,,,,32636.00,35900.00,47800.00,47800.00,F,F,"설만이라도, 우리 가족 월경 스트레스에서 벗어나길 바라요",F,KR,1.00,,23-01-09 16:17:42,23-01-25 09:32:00,T,0.00,F,M
1,521,P00000UB,,[설 한정기획] 펨마카 선물세트,,,,,26818.00,29500.00,39300.00,39300.00,F,F,"에너지 가득 펨마카, 설 기획 세트",F,KR,1.00,,23-01-09 16:12:16,23-01-25 09:32:09,T,0.00,F,M
1,520,P00000UA,O_SSUP_FL_1,펨감마리놀렌산 리퀴드(14포),,,,,20818.00,22900.00,23900.00,23900.00,T,T,"[~30%]간편하게 짜먹고, 월경 전 더 편하게",F,KR,1.00,,23-01-09 16:01:24,23-02-24 11:02:17,F,0.00,F,M
1,519,P00000TZ,O_SSUP_FG_1,펨마카 구미(63g),,,,,9909.00,10900.00,11900.00,11900.00,T,T,맛있고 활력있게❤️,F,KR,1.00,,23-01-09 15:58:33,23-02-24 10:38:20,F,0.00,F,M
1,518,P00000TY,,[체레미엄]펨감마리놀렌산 리퀴드,,,,,21727.00,23900.00,23900.00,0.00,T,T,,F,KR,1.00,,22-12-12 15:12:55,22-12-29 15:00:05,F,0.00,F,M
1,517,P00000TX,O_SL_120_1,인티밋젤 백도어(130ml),,,,,27182.00,29900.00,30900.00,0.00,T,T,마르지 않는 높은 점도,F,KR,1.00,,22-12-09 15:50:04,23-03-06 16:15:36,T,0.00,F,M
1,516,P00000TW,O_SM_CAN_1,마사지 캔들 포레스트 문(80g),,,,,22455.00,24700.00,30900.00,30900.00,T,T,무드있고 색다르게.,F,KR,1.00,,22-12-09 15:48:24,23-02-23 16:33:06,F,0.00,F,M
1,515,P00000TV,,홀리데이 키트,,,,,71182.00,78300.00,142400.00,142400.00,F,F,[45%][한정수량] Melting Christmas,F,KR,1.00,,22-12-09 15:45:01,23-01-02 09:36:16,T,0.00,F,M
