log_id,log_type,event_no,event_name,mall_id,trace_id,requested_time,request_endpoint,event_shop_no,member_id,success,response_http_code,response_body
x_FhuYYBonVb0d_pXTFE,G,90146,휴면해제,instinctus1,8e1df93b-f75c-4344-b83a-aadec2d80e18,23-03-07 09:03:30,https://cheremimaka.com/,1,christ3033,T,,
0e5TuYYBonVb0d_pqOJU,G,90146,휴면해제,instinctus1,bc66e3bc-f585-4abb-b144-7f79b6334df6,23-03-07 08:48:32,https://cheremimaka.com/,1,igchoi1203,T,,
sWxBuYYB_9fFJ2LuEyaB,G,90146,휴면해제,instinctus1,2da93c5c-30df-4203-8ed6-bbf8dedba461,23-03-07 08:28:14,https://cheremimaka.com/,1,1753308944@k,T,,
8E2zt4YB_9fFJ2LuPUua,G,90146,휴면해제,instinctus1,0acfe670-1571-4a3e-9a83-2589a1c378ec,23-03-07 01:13:42,https://cheremimaka.com/,1,ikeforce,T,,
csNzt4YBonVb0d_pzvOT,G,90146,휴면해제,instinctus1,e8a0b93f-b8f7-45f4-9d7f-05c8430e146d,23-03-07 00:04:25,https://cheremimaka.com/,1,lsc9921,T,,
rMBgt4YBonVb0d_pysJN,G,90146,휴면해제,instinctus1,9d4c6040-4655-45c1-850a-180c2a130111,23-03-06 23:43:38,https://cheremimaka.com/,1,alstjr0201,T,,
9tJNt4YByqcTYyeENJmX,G,90146,휴면해제,instinctus1,d5f6b156-e24c-4464-b71c-fad235a460c5,23-03-06 23:22:15,https://cheremimaka.com/,1,2062459553@k,T,,
TNJHt4YBp0JdrY88rDLI,G,90146,휴면해제,instinctus1,0182f4a7-565d-47c5-a066-ee72ab239640,23-03-06 23:16:12,https://cheremimaka.com/,1,2111140160@k,T,,
4rIPt4YBonVb0d_p3nRB,G,90147,탈퇴,instinctus1,ab2b9ce2-e4db-4bd5-9083-a85c28ab69f6,23-03-06 22:15:15,https://cheremimaka.com/,1,adlayloe,T,,
5SbTtoYB_9fFJ2LuinOy,G,90146,휴면해제,instinctus1,ad2e50c4-c4be-4890-bc42-83a9da6953db,23-03-06 21:09:21,https://cheremimaka.com/,1,goddns3678,T,,
2CDFtoYBdKH2J-nnuYem,G,90146,휴면해제,instinctus1,76608816-9250-4339-ac4f-a0af143cfcf6,23-03-06 20:54:16,https://cheremimaka.com/,1,73387270@n,T,,
uAYotoYB_9fFJ2Lu5_2L,G,90146,휴면해제,instinctus1,75540f89-96b2-4644-8e0d-3a485677a6cf,23-03-06 18:02:59,https://cheremimaka.com/,1,1954541376@k,T,,
HQUhtoYB_9fFJ2LuTWen,G,90146,휴면해제,instinctus1,c2b731c9-d33c-4b99-8099-9c84c9803982,23-03-06 17:54:40,https://cheremimaka.com/,1,thkim0415,T,,
PWeetYYBonVb0d_p0mqv,G,90146,휴면해제,instinctus1,1820b2ec-4c28-44d7-8743-e111787760d3,23-03-06 15:32:09,https://cheremimaka.com/,1,ysj6608,T,,
DnSZtYYBp0JdrY88xrwP,G,90146,휴면해제,instinctus1,d44c52cd-b458-4f61-8a06-db5c31f047ee,23-03-06 15:26:38,https://cheremimaka.com/,1,abc1398,T,,
4V5AtYYBp0JdrY88kibg,G,90146,휴면해제,instinctus1,102e0ce8-e193-4ec3-b254-13f441c07bff,23-03-06 13:49:13,https://cheremimaka.com/,1,syberith,T,,
IEXatIYBp0JdrY88vcHP,G,90146,휴면해제,instinctus1,9790983c-11a0-48c9-a074-67f29293ba63,23-03-06 11:57:59,https://cheremimaka.com/,1,46143791@n,T,,
2qKEtIYB_9fFJ2Lu6GNP,G,90146,휴면해제,instinctus1,6d475ccc-9fad-482f-86b3-3dc48febac27,23-03-06 10:24:14,https://cheremimaka.com/,1,mkw6845,T,,
DAFDs4YBp0JdrY880VSG,G,90146,휴면해제,instinctus1,26c3c06c-0fe7-4c2b-b767-628c720c39b7,23-03-06 04:33:31,https://cheremimaka.com/,1,59320663@n,T,,
zvbNsoYBonVb0d_pWVSc,G,90146,휴면해제,instinctus1,da6b7c7a-5f96-4278-a3d2-be248682c6ac,23-03-06 02:24:07,https://cheremimaka.com/,1,ttlsky1200,T,,
K_e7soYBp0JdrY88R6FV,G,90146,휴면해제,instinctus1,17d77d7a-731e-4cc9-8fc9-e85d8d1f1bcf,23-03-06 02:04:23,https://cheremimaka.com/,1,luvthemoon,T,,
7wehsoYByqcTYyeEq3wB,G,90146,휴면해제,instinctus1,f5635f09-4c86-4629-8d49-410bdbebc7b7,23-03-06 01:36:24,https://cheremimaka.com/,1,haroo004,T,,
RPGTsoYBonVb0d_pK2UO,G,90146,휴면해제,instinctus1,e43c354c-0bf5-42a1-9ed8-884c7851999e,23-03-06 01:20:34,https://cheremimaka.com/,1,meetsun,T,,
hmdKsoYB_9fFJ2Luy64U,G,90146,휴면해제,instinctus1,1d93b767-b4eb-44c0-b4ac-52b24b9b7e9c,23-03-06 00:01:31,https://cheremimaka.com/,1,dragonsunny,T,,
2OdHsoYBonVb0d_pxJ2k,G,90146,휴면해제,instinctus1,bb139e89-f74a-48c8-ada2-e1d565689505,23-03-05 23:58:12,https://cheremimaka.com/,1,jaehun0630,T,,
3-dGsoYBp0JdrY88kvuX,G,90146,휴면해제,instinctus1,4b92559f-943f-4f46-8150-def260d66caa,23-03-05 23:56:54,https://cheremimaka.com/,1,lee88419,T,,
r-Y9soYBonVb0d_pYCuO,G,90146,휴면해제,instinctus1,ee3a6282-288a-47ea-8aff-3f62140601f9,23-03-05 23:46:51,https://cheremimaka.com/,1,rjs201021,T,,
rOY6soYBp0JdrY88bgc5,G,90146,휴면해제,instinctus1,87dd8b7e-b081-4bb3-aa8c-bc6382d979d6,23-03-05 23:43:38,https://cheremimaka.com/,1,54738250@n,T,,
ZuIosoYBonVb0d_pWM5h,G,90146,휴면해제,instinctus1,70fae9bf-0069-4585-b019-d68bfaa65d9a,23-03-05 23:23:53,https://cheremimaka.com/,1,lshlsh1804,T,,
UF4hsoYBdKH2J-nntlON,G,90146,휴면해제,instinctus1,646846ff-5166-448e-be09-ea9e93b6a2da,23-03-05 23:16:38,https://cheremimaka.com/,1,mincl,T,,
s98TsoYBonVb0d_pVW01,G,90146,휴면해제,instinctus1,ecd6da8c-e01e-4b27-a908-4bdfbb5fa407,23-03-05 23:00:56,https://cheremimaka.com/,1,42256149@n,T,,
mt8TsoYBp0JdrY88PRoL,G,90146,휴면해제,instinctus1,44e8e61f-f60e-455d-96de-e5a2761a49db,23-03-05 23:00:50,https://cheremimaka.com/,1,nico0118,T,,
_VbksYYB_9fFJ2Lu5KoI,G,90146,휴면해제,instinctus1,e95e4c21-1cca-46a3-a6a7-d5d6d91ab03e,23-03-05 22:10:12,https://cheremimaka.com/,1,wlgus9957,T,,
Gk2qsYYB_9fFJ2LuvA6y,G,90146,휴면해제,instinctus1,db9583b1-575b-4330-8a38-26f62669f746,23-03-05 21:06:41,https://cheremimaka.com/,1,1911227773@k,T,,
xj5hsYYBdKH2J-nnbM8b,G,90146,휴면해제,instinctus1,cef8be76-ff66-42d0-90b1-6737ed4d4857,23-03-05 19:46:36,https://cheremimaka.com/,1,tiger8788,T,,
Nzk8sYYBdKH2J-nntu0K,G,90146,휴면해제,instinctus1,f349247c-ab58-4c6a-a415-48e961790ec7,23-03-05 19:06:31,https://cheremimaka.com/,1,1977616912@k,T,,
5Dw5sYYB_9fFJ2Lu8KDu,G,90146,휴면해제,instinctus1,1fbd9545-093a-4d5b-bc94-b7c4a09c3b34,23-03-05 19:03:29,https://cheremimaka.com/,1,48807421@n,T,,
WrkfsYYBonVb0d_pJ6CI,G,90146,휴면해제,instinctus1,33c7ec2f-cb0a-458b-9237-36ad01675125,23-03-05 18:34:14,https://cheremimaka.com/,1,iii654,T,,
w8LFsIYByqcTYyeE55qg,G,90146,휴면해제,instinctus1,09a84df1-6f38-43a1-957d-44e932385fd9,23-03-05 16:56:45,https://cheremimaka.com/,1,2035006716@k,T,,
iqKesIYBp0JdrY88wYWF,G,90146,휴면해제,instinctus1,b4344f91-926a-4398-960a-f72224cba03f,23-03-05 16:13:59,https://cheremimaka.com/,1,brainfigo,T,,
hbNMsIYByqcTYyeEWemO,G,90146,휴면해제,instinctus1,a17e49ba-0d18-412d-bb0d-31d6fab270f2,23-03-05 14:43:58,https://cheremimaka.com/,1,lhy9757,T,,
cQmzr4YBdKH2J-nnMS1h,G,90146,휴면해제,instinctus1,ed09b2ea-21f4-44f3-8435-519bfe7b6753,23-03-05 11:56:41,https://cheremimaka.com/,1,mk103201,T,,
6QBrr4YBdKH2J-nn-taA,G,90147,탈퇴,instinctus1,2655733d-2726-4199-abd0-3cb3e79caad4,23-03-05 10:38:54,https://cheremimaka.com/,1,10457767@n,T,,
K3snr4YBonVb0d_pZ9Kc,G,90146,휴면해제,instinctus1,8d52bda1-93f0-4a31-af7c-6b7885729788,23-03-05 09:24:00,https://cheremimaka.com/,1,ki5825,T,,
Gvsjr4YB_9fFJ2Lu5ROZ,G,90146,휴면해제,instinctus1,3f898bfe-ecf4-4be5-99f0-01a9b591e2bb,23-03-05 09:20:10,https://cheremimaka.com/,1,2017940046@k,T,,
_Y8dr4YByqcTYyeE3o_C,G,90146,휴면해제,instinctus1,3d85ed02-ff2f-4497-91d9-38eb2c3c790e,23-03-05 09:13:35,https://cheremimaka.com/,1,2024326017@k,T,,
z_bvroYB_9fFJ2LuIVTd,G,90146,휴면해제,instinctus1,0721ed77-7b4a-4756-a21f-f0949e5f0eab,23-03-05 08:22:32,https://cheremimaka.com/,1,myungsic7,T,,
x-bsrYYB_9fFJ2LuY7kS,G,90146,휴면해제,instinctus1,2ac9b390-e5bf-4e7e-a269-504117102e46,23-03-05 03:39:55,https://cheremimaka.com/,1,gksqlc1004,T,,
Z2XLrYYBonVb0d_pQgTH,G,90146,휴면해제,instinctus1,595603df-32f8-4ebd-9946-8e2753400970,23-03-05 03:03:44,https://cheremimaka.com/,1,hsr456,T,,
BXnIrYYByqcTYyeEjXdn,G,90146,휴면해제,instinctus1,f66191d4-4757-415d-9e0b-c5d0367aad04,23-03-05 03:00:46,https://cheremimaka.com/,1,kanggiyun121,T,,
hNAVrYYBdKH2J-nnHDux,G,90146,휴면해제,instinctus1,f6951361-ea0d-4f43-a938-be617edbe81a,23-03-04 23:44:47,https://cheremimaka.com/,1,zghiop103,T,,
0M3_rIYBdKH2J-nntIBL,G,90146,휴면해제,instinctus1,df54f300-6c05-4bdd-ad0e-e3d92f1a322c,23-03-04 23:21:24,https://cheremimaka.com/,1,tree334,T,,
i0_2rIYBonVb0d_pc9T3,G,90146,휴면해제,instinctus1,b13b87f8-4fca-4987-9841-92df45f40acd,23-03-04 23:11:17,https://cheremimaka.com/,1,trans94,T,,
rsrrrIYBdKH2J-nnQ8up,G,90146,휴면해제,instinctus1,2d8b871c-d8d4-475d-9ee9-1677c3278360,23-03-04 22:59:04,https://cheremimaka.com/,1,ghhg8989,T,,
w8CMrIYB_9fFJ2Lub9_t,G,90146,휴면해제,instinctus1,fec850ec-dc9a-4d73-9f33-3873a5e2454b,23-03-04 21:15:29,https://cheremimaka.com/,1,song0624,T,,
DzQlrIYBonVb0d_p7f5I,G,90146,휴면해제,instinctus1,348ec3b2-4a3b-4e79-ab1a-2660f22ee8c0,23-03-04 19:23:31,https://cheremimaka.com/,1,27144471@n,T,,
pBHpq4YBp0JdrY88fr55,G,90146,휴면해제,instinctus1,3a7c10e1-c471-4ee8-af20-c7bcbd5d0d70,23-03-04 18:17:31,https://cheremimaka.com/,1,rising0ssun,T,,
-RDdq4YBp0JdrY88gzpb,G,90146,휴면해제,instinctus1,5956d033-9518-4731-a485-97c1c95f4952,23-03-04 18:04:26,https://cheremimaka.com/,1,halo8218,T,,
SDFQq4YByqcTYyeEnBJv,G,90146,휴면해제,instinctus1,a6adb847-b082-4f37-9422-2e42c88fb04a,23-03-04 15:30:31,https://cheremimaka.com/,1,1922212970@k,T,,
8Zcrq4YB_9fFJ2Luf2vD,G,90146,휴면해제,instinctus1,ef40f687-4715-4434-b9d5-6cd06038ba2f,23-03-04 14:49:59,https://cheremimaka.com/,1,jaeun0405,T,,
ZfYfq4YBp0JdrY88KB8D,G,90146,휴면해제,instinctus1,90278c14-fe2f-4e21-9cd6-2e5d5e92d19c,23-03-04 14:36:30,https://cheremimaka.com/,1,mk5765,T,,
KPMNq4YBp0JdrY88o8jc,G,90146,휴면해제,instinctus1,b8db7b3b-60a3-4bec-9a91-5ecfacf52206,23-03-04 14:17:22,https://cheremimaka.com/,1,gnsdldbql,T,,
_CgKq4YByqcTYyeEN5KA,G,90146,휴면해제,instinctus1,9276dad6-2d64-4b55-860d-1f286a4dea22,23-03-04 14:13:38,https://cheremimaka.com/,1,stoomzzang,T,,
On96qoYBdKH2J-nnUbKd,G,90146,휴면해제,instinctus1,0d734d20-bc76-401a-a909-81590edf7516,23-03-04 11:36:28,https://cheremimaka.com/,1,1997850404@k,T,,
PtY0qoYBp0JdrY88rhKF,G,90146,휴면해제,instinctus1,77dc326d-e6a6-43ed-987e-bab947447a5c,23-03-04 10:20:24,https://cheremimaka.com/,1,yjh1584,T,,
yHMAqoYB_9fFJ2LuyHbc,G,90146,휴면해제,instinctus1,5a4c7aa3-f762-4c05-ba12-7f30f65de9ee,23-03-04 09:23:43,https://cheremimaka.com/,1,dms313257,T,,
Bm_YqYYB_9fFJ2LuV1Ar,G,90146,휴면해제,instinctus1,91ca24f6-bc42-40aa-badf-6c962b9b24a7,23-03-04 08:39:32,https://cheremimaka.com/,1,heeheum,T,,
tca2qYYBp0JdrY88sTNw,G,90146,휴면해제,instinctus1,795b04b1-74d0-4783-95ff-6542d9baef9e,23-03-04 08:02:47,https://cheremimaka.com/,1,gnlffn,T,,
yuqUqYYBonVb0d_p7Hdg,G,90146,휴면해제,instinctus1,b52099c3-9e54-4566-91de-93b998b364c4,23-03-04 07:25:54,https://cheremimaka.com/,1,khgthe,T,,
3ZGpp4YBp0JdrY88NXcB,G,90146,휴면해제,instinctus1,0a118b87-4a7f-457a-832b-6d94e1c78911,23-03-03 22:28:49,https://cheremimaka.com/,1,1717251631@k,T,,
2juGp4YB_9fFJ2LudrUp,G,90146,휴면해제,instinctus1,3b279b19-3563-4bce-9efc-24014a932cb6,23-03-03 21:50:52,https://cheremimaka.com/,1,ron21,T,,
