id,R,F,M,r_grade,f_grade,m_grade
10004031@n,207,1,32400.0,1,1,1
100094816@n,75,1,28400.0,3,1,1
10017164@n,207,1,34839.0,1,1,1
10019630@n,8,2,70600.0,4,2,2
10020545@n,128,1,41900.0,2,1,1
100213738@n,10,1,15900.0,4,1,1
100248766@n,15,1,33900.0,4,1,1
100257260@n,207,1,114000.0,1,1,3
10026056@n,68,2,28039.0,3,2,1
100407446@n,76,1,56400.0,3,1,2
100409635@n,37,1,38800.0,4,1,1
100421153@n,30,3,114700.0,4,3,3
10044543@n,76,1,49400.0,3,1,1
100505918@n,217,1,35000.0,1,1,1
10053939@n,63,1,46100.0,3,1,1
10073891@n,18,1,12900.0,4,1,1
100837048@n,213,1,34000.0,1,1,1
10084263@n,114,1,70700.0,2,1,2
100859885@n,54,1,39900.0,3,1,1
10086444@n,50,1,39400.0,3,1,1
10107654@n,147,1,70800.0,2,1,2
10115166@n,63,1,40900.0,3,1,1
10116179@n,70,1,31300.0,3,1,1
101174728@n,45,1,40900.0,4,1,1
101227341@n,6,1,29900.0,4,1,1
101294658@n,33,1,36900.0,4,1,1
101375905@n,172,1,60600.0,1,1,2
10140247@n,77,1,31300.0,3,1,1
101464729@n,185,1,17900.0,1,1,1
101506435@n,55,1,39400.0,3,1,1
101638761@n,207,1,32400.0,1,1,1
10169889@n,12,2,71800.0,4,2,2
101727884@n,88,1,31900.0,3,1,1
101743829@n,127,1,41579.0,2,1,1
10180298@n,208,1,35000.0,1,1,1
101807621@n,5,3,115160.0,4,3,3
101910033@n,207,1,34200.0,1,1,1
10202984@n,17,1,34900.0,4,1,1
1020340454@g,144,1,15900.0,2,1,1
102110169@n,199,1,39800.0,1,1,1
102122020@n,7,2,74300.0,4,2,2
1021454803@g,83,1,30800.0,3,1,1
102165060@n,69,4,75891.0,3,3,2
102167627@n,21,1,13900.0,4,1,1
102188313@n,38,2,74529.0,4,2,2
102242878@n,85,1,57200.0,3,1,2
102369340@n,218,1,30236.0,1,1,1
102429750@n,147,1,101400.0,2,1,2
102491096@n,117,1,46900.0,2,1,1
102500152@n,79,1,32800.0,3,1,1
102587136@n,105,1,153000.0,2,1,3
102594008@n,99,1,13900.0,3,1,1
102608604@n,161,1,38100.0,1,1,1
10263837@n,46,1,29300.0,4,1,1
102657701@g,66,1,28400.0,3,1,1
10268713@n,69,1,31400.0,3,1,1
10269050@n,189,1,67738.0,1,1,2
102721416@n,28,2,31200.0,4,2,1
10274023@n,23,3,153636.0,4,3,3
102752249@n,75,1,32400.0,3,1,1
102814364@n,145,1,15900.0,2,1,1
102831432@n,121,1,50600.0,2,1,1
10302390@n,127,1,65700.0,2,1,2
103095265@n,122,2,80700.0,2,2,2
103127011@n,125,1,16900.0,2,1,1
103199338@n,217,1,103600.0,1,1,3
103236345@n,93,1,13900.0,3,1,1
10323711@n,206,1,30400.0,1,1,1
103298102@n,181,1,50300.0,1,1,1
103376515@n,96,1,69875.0,3,1,2
10341732@n,142,1,40000.0,2,1,1
10348836@n,192,1,153000.0,1,1,3
10386109@n,207,1,29918.0,1,1,1
104047598@n,206,1,30124.0,1,1,1
104050752@n,36,1,36900.0,4,1,1
104166985@n,163,1,42300.0,1,1,1
10424512@n,171,1,29800.0,1,1,1
104301039@n,73,1,81800.0,3,1,2
104359341@n,10,1,28800.0,4,1,1
104362025@n,77,1,40700.0,3,1,1
104399380@n,107,1,36900.0,2,1,1
10442784@n,128,2,85100.0,2,2,2
104439612@n,76,1,65500.0,3,1,2
104470784@n,9,1,14900.0,4,1,1
104507096@n,37,1,40400.0,4,1,1
104520735@n,210,1,34876.0,1,1,1
10453333@n,66,1,31700.0,3,1,1
104668066@n,72,1,34000.0,3,1,1
10474157@n,163,2,57800.0,1,2,2
10477850@n,69,2,45100.0,3,2,1
10480436@n,68,1,32400.0,3,1,1
10482953@n,181,1,40900.0,1,1,1
1051867554@g,6,1,37900.0,4,1,1
10527017@n,2,1,36900.0,4,1,1
10558153@n,191,1,41000.0,1,1,1
10569049@n,167,1,12900.0,1,1,1
10580710@n,218,1,31400.0,1,1,1
10582416@n,92,1,82800.0,3,1,2
10598086@n,3,1,26405.0,4,1,1
106040033@n,127,1,54300.0,2,1,2
106246875@n,36,1,158200.0,4,1,3
10638839@n,128,1,49800.0,2,1,1
106415689@n,92,1,49800.0,3,1,1
106465767@n,103,1,11900.0,2,1,1
106512559@n,138,1,40900.0,2,1,1
106694931@n,71,1,33012.0,3,1,1
10671304@n,130,1,31900.0,2,1,1
10671536@n,208,1,35000.0,1,1,1
10722658@n,177,1,39400.0,1,1,1
10724107@n,218,1,16100.0,1,1,1
10724306@n,85,1,38800.0,3,1,1
10732962@n,172,1,62600.0,1,1,2
1074305@n,74,1,32700.0,3,1,1
107454028@n,195,1,43610.0,1,1,1
107543838@n,92,2,64100.0,3,2,2
10768980@n,195,1,17900.0,1,1,1
10786382@n,108,1,47600.0,2,1,1
10788213@n,45,1,102600.0,4,1,2
108118968@n,204,1,34000.0,1,1,1
10814605@n,139,1,40780.0,2,1,1
10827263@n,2,1,37000.0,4,1,1
108291950@n,65,1,113408.0,3,1,3
108304649@n,174,1,30800.0,1,1,1
10832841@n,218,1,113993.0,1,1,3
108342882@n,7,1,37900.0,4,1,1
10835930@n,180,1,38800.0,1,1,1
108418145@n,91,2,192691.0,3,2,3
10856158@n,14,1,40900.0,4,1,1
108581747@n,92,1,29900.0,3,1,1
1086136@n,80,1,87000.0,3,1,2
10872526@n,116,1,11700.0,2,1,1
108779015@n,217,1,56985.0,1,1,2
108915001@n,59,1,95400.0,3,1,2
10893097@n,77,1,65800.0,3,1,2
10912437@n,21,1,13900.0,4,1,1
109173297@n,212,1,36000.0,1,1,1
109293609@n,135,2,59600.0,2,2,2
10931152@n,117,1,36000.0,2,1,1
109322683@n,57,1,38900.0,3,1,1
109328480@n,68,2,171979.0,3,2,3
10940450@n,93,1,13900.0,3,1,1
109562494@n,208,1,12099.0,1,1,1
109597285@n,142,1,17900.0,2,1,1
10962397@n,10,2,78300.0,4,2,2
109775882@n,42,1,36900.0,4,1,1
109821260@n,61,1,15500.0,3,1,1
109881941@n,112,1,12700.0,2,1,1
109882957@n,111,1,36700.0,2,1,1
10989183@n,48,1,31800.0,3,1,1
10994947@n,15,1,36900.0,4,1,1
1100049927@g,64,1,65800.0,3,1,2
110021152@n,66,1,35700.0,3,1,1
110025838@n,19,1,22100.0,4,1,1
110073769@n,172,1,29800.0,1,1,1
11026447@n,75,1,53300.0,3,1,2
110269388@n,110,1,33900.0,2,1,1
110284475@n,9,1,49100.0,4,1,1
110408606@n,111,1,24000.0,2,1,1
11042265@n,27,1,40733.0,4,1,1
1104331@n,76,1,65800.0,3,1,2
110583373@n,89,1,16900.0,3,1,1
110771920@n,10,3,119973.0,4,3,3
110898523@n,60,1,31400.0,3,1,1
11102967@n,71,1,31700.0,3,1,1
11110783@n,72,1,31400.0,3,1,1
11115826@n,63,1,31300.0,3,1,1
111181951@n,91,1,39400.0,3,1,1
111229290@n,105,2,53100.0,2,2,2
11126263@n,200,1,45900.0,1,1,1
111313141@n,86,1,31800.0,3,1,1
111353133@n,118,1,47600.0,2,1,1
11136913@n,68,1,41568.0,3,1,1
11150720@n,59,1,32300.0,3,1,1
111569684@n,54,1,15900.0,3,1,1
111579067@n,5,2,37929.0,4,2,1
11162567@n,104,1,12900.0,2,1,1
11170739@n,217,1,33200.0,1,1,1
111717529@n,173,1,38800.0,1,1,1
111797576@n,47,1,9900.0,3,1,1
111807439@n,128,1,42800.0,2,1,1
11181804@n,69,1,32400.0,3,1,1
111911542@n,94,1,41900.0,3,1,1
11199275@n,187,1,40000.0,1,1,1
112018990@n,205,1,15200.0,1,1,1
11203673@n,36,1,33900.0,4,1,1
112075833@n,129,1,40900.0,2,1,1
11233680@n,61,1,32400.0,3,1,1
112407895@n,202,1,14500.0,1,1,1
112415436@n,140,1,30800.0,2,1,1
112435810@n,62,1,32400.0,3,1,1
11247825@n,34,1,14900.0,4,1,1
112555290@n,1,1,36739.0,4,1,1
112603393@n,217,1,33400.0,1,1,1
11260595@n,124,1,103000.0,2,1,3
112633192@n,122,1,147000.0,2,1,3
11277338@n,153,1,41000.0,2,1,1
112804268@n,21,1,19100.0,4,1,1
11285800@n,191,1,40715.0,1,1,1
1128604@n,28,1,21300.0,4,1,1
113105278@n,115,1,23000.0,2,1,1
113207167@n,173,1,28900.0,1,1,1
11328165@n,53,1,58200.0,3,1,2
113384592@n,50,1,60800.0,3,1,2
113428890@n,70,1,35400.0,3,1,1
11347023@n,100,1,13900.0,2,1,1
113540362@n,151,1,16900.0,2,1,1
113641524@n,2,3,128000.0,4,3,3
113725992@n,60,1,32400.0,3,1,1
11373862@n,53,1,37800.0,3,1,1
113745432@n,185,1,78800.0,1,1,2
113812339@n,45,1,48700.0,4,1,1
11400382@n,77,1,30300.0,3,1,1
114054137@n,76,1,33400.0,3,1,1
114177924@n,96,3,83970.0,3,3,2
11419434@n,83,2,67700.0,3,2,2
114213160@n,127,1,68800.0,2,1,2
11422393@n,51,1,38900.0,3,1,1
114227439@n,203,1,38800.0,1,1,1
114280276@n,57,1,17900.0,3,1,1
11439082@n,140,1,16900.0,2,1,1
114421553@n,60,1,32400.0,3,1,1
114422750@n,101,1,28500.0,2,1,1
114628746@n,72,1,32400.0,3,1,1
114681825@n,196,1,16900.0,1,1,1
11472360@n,104,1,149000.0,2,1,3
114826922@n,73,1,35400.0,3,1,1
114915627@n,106,1,23000.0,2,1,1
11494831@n,12,1,40900.0,4,1,1
114986258@n,6,1,38900.0,4,1,1
115109105@n,50,1,67300.0,3,1,2
115131834@n,2,1,36000.0,4,1,1
115258094@n,77,3,117400.0,3,3,3
11533530@n,197,1,40622.0,1,1,1
115357830@n,79,2,71133.0,3,2,2
115405625@n,60,1,49400.0,3,1,1
115441330@n,139,1,16900.0,2,1,1
11548134@n,121,1,31900.0,2,1,1
11550150@n,116,1,13900.0,2,1,1
115539670@n,35,1,13900.0,4,1,1
115554040@n,98,1,55700.0,3,1,2
115577465@n,116,1,35300.0,2,1,1
115644916@n,146,1,79800.0,2,1,2
11576582@n,104,1,38800.0,2,1,1
115880298@n,70,1,15500.0,3,1,1
11594112@n,36,1,38800.0,4,1,1
115983687@n,77,1,32400.0,3,1,1
115996385@n,28,1,62600.0,4,1,2
116089195@n,77,1,32400.0,3,1,1
