date,member_id,R,F,M,r_grade,f_grade,m_grade,rfm_index,group
2023-03-01,10004031@n,207,1,32400.0,1,1,1,1.0,esc
2023-03-01,100094816@n,75,1,28400.0,3,1,1,1.022206004602482,new
2023-03-01,10017164@n,207,1,34839.0,1,1,1,1.0,esc
2023-03-01,10019630@n,8,2,70600.0,4,2,2,2.0222060046024817,new
2023-03-01,10020545@n,128,1,41900.0,2,1,1,1.0111030023012408,esc
2023-03-01,100213738@n,10,1,15900.0,4,1,1,1.033309006903723,new
2023-03-01,100248766@n,15,1,33900.0,4,1,1,1.033309006903723,new
2023-03-01,100257260@n,207,1,114000.0,1,1,3,2.298727112776961,esc-VIP
2023-03-01,10026056@n,68,2,28039.0,3,2,1,1.3617394459127603,new
2023-03-01,100407446@n,76,1,56400.0,3,1,2,1.6715695609909627,new
2023-03-01,100409635@n,37,1,38800.0,4,1,1,1.033309006903723,new
2023-03-01,100421153@n,30,3,114700.0,4,3,3,3.011103002301241,VIP
2023-03-01,10044543@n,76,1,49400.0,3,1,1,1.022206004602482,new
2023-03-01,100505918@n,217,1,35000.0,1,1,1,1.0,esc
2023-03-01,10053939@n,63,1,46100.0,3,1,1,1.022206004602482,new
2023-03-01,10073891@n,18,1,12900.0,4,1,1,1.033309006903723,new
2023-03-01,100837048@n,213,1,34000.0,1,1,1,1.0,esc
2023-03-01,10084263@n,114,1,70700.0,2,1,2,1.6604665586897216,esc
2023-03-01,100859885@n,54,1,39900.0,3,1,1,1.022206004602482,new
2023-03-01,10086444@n,50,1,39400.0,3,1,1,1.022206004602482,new
2023-03-01,10107654@n,147,1,70800.0,2,1,2,1.6604665586897216,esc
2023-03-01,10115166@n,63,1,40900.0,3,1,1,1.022206004602482,new
2023-03-01,10116179@n,70,1,31300.0,3,1,1,1.022206004602482,new
2023-03-01,101174728@n,45,1,40900.0,4,1,1,1.033309006903723,new
2023-03-01,101227341@n,6,1,29900.0,4,1,1,1.033309006903723,new
2023-03-01,101294658@n,33,1,36900.0,4,1,1,1.033309006903723,new
2023-03-01,101375905@n,172,1,60600.0,1,1,2,1.6493635563884808,esc
2023-03-01,10140247@n,77,1,31300.0,3,1,1,1.022206004602482,new
2023-03-01,101464729@n,185,1,17900.0,1,1,1,1.0,esc
2023-03-01,101506435@n,55,1,39400.0,3,1,1,1.022206004602482,new
2023-03-01,101638761@n,207,1,32400.0,1,1,1,1.0,esc
2023-03-01,10169889@n,12,2,71800.0,4,2,2,2.0222060046024817,new
2023-03-01,101727884@n,88,1,31900.0,3,1,1,1.022206004602482,new
2023-03-01,101743829@n,127,1,41579.0,2,1,1,1.0111030023012408,esc
2023-03-01,10180298@n,208,1,35000.0,1,1,1,1.0,esc
2023-03-01,101807621@n,5,3,115160.0,4,3,3,3.011103002301241,VIP
2023-03-01,101910033@n,207,1,34200.0,1,1,1,1.0,esc
2023-03-01,10202984@n,17,1,34900.0,4,1,1,1.033309006903723,new
2023-03-01,1020340454@g,144,1,15900.0,2,1,1,1.0111030023012408,esc
2023-03-01,102110169@n,199,1,39800.0,1,1,1,1.0,esc
2023-03-01,102122020@n,7,2,74300.0,4,2,2,2.0222060046024817,new
2023-03-01,1021454803@g,83,1,30800.0,3,1,1,1.022206004602482,new
2023-03-01,102165060@n,69,4,75891.0,3,3,2,2.3506364436115192,ROYAL
2023-03-01,102167627@n,21,1,13900.0,4,1,1,1.033309006903723,new
2023-03-01,102188313@n,38,2,74529.0,4,2,2,2.0222060046024817,new
2023-03-01,102242878@n,85,1,57200.0,3,1,2,1.6715695609909627,new
2023-03-01,102369340@n,218,1,30236.0,1,1,1,1.0,esc
2023-03-01,102429750@n,147,1,101400.0,2,1,2,1.6604665586897216,esc
2023-03-01,102491096@n,117,1,46900.0,2,1,1,1.0111030023012408,esc
2023-03-01,102500152@n,79,1,32800.0,3,1,1,1.022206004602482,new
2023-03-01,102587136@n,105,1,153000.0,2,1,3,2.309830115078202,esc-VIP
2023-03-01,102594008@n,99,1,13900.0,3,1,1,1.022206004602482,new
2023-03-01,102608604@n,161,1,38100.0,1,1,1,1.0,esc
2023-03-01,10263837@n,46,1,29300.0,4,1,1,1.033309006903723,new
2023-03-01,102657701@g,66,1,28400.0,3,1,1,1.022206004602482,new
2023-03-01,10268713@n,69,1,31400.0,3,1,1,1.022206004602482,new
2023-03-01,10269050@n,189,1,67738.0,1,1,2,1.6493635563884808,esc
2023-03-01,102721416@n,28,2,31200.0,4,2,1,1.3728424482140014,new
