date,member_id,R,F,M,r_grade,f_grade,m_grade,rfm_index,group
2022-07-26,100004207@n,237,1,33733.0,2,1,1,1.0543118531127325,esc
2022-07-26,100007313@n,226,1,31500.0,2,1,1,1.0543118531127325,esc
2022-07-26,10017164@n,348,1,38713.0,1,1,1,1.0,esc
2022-07-26,10020545@n,200,1,39479.0,2,1,1,1.0543118531127325,esc
2022-07-26,10021075@n,21,1,38700.0,4,1,1,1.1629355593381974,new
2022-07-26,100243222@n,239,1,53147.0,2,1,2,1.6025064314725193,esc
2022-07-26,10026056@n,44,1,38700.0,4,1,1,1.1629355593381974,new
2022-07-26,100299928@n,314,1,15400.0,1,1,1,1.0,esc
2022-07-26,100300081@n,146,1,21000.0,3,1,1,1.108623706225465,new
2022-07-26,10030095@n,232,1,36500.0,2,1,1,1.0543118531127325,esc
2022-07-26,100306896@n,174,1,15400.0,3,1,1,1.108623706225465,new
2022-07-26,100421153@n,41,3,92500.0,4,3,2,2.5061172747529454,ROYAL
2022-07-26,100452834@n,143,1,66600.0,3,1,2,1.6568182845852517,new
2022-07-26,100517264@n,157,2,70808.0,3,2,2,2.0543118531127327,new
2022-07-26,10053939@n,157,2,135000.0,3,2,3,2.602506431472519,semi-VIP
2022-07-26,100645308@n,172,1,38900.0,3,1,1,1.108623706225465,new
2022-07-26,100675503@n,45,1,40800.0,4,1,1,1.1629355593381974,new
2022-07-26,100708943@n,206,1,38500.0,2,1,1,1.0543118531127325,esc
2022-07-26,100730660@n,296,1,17400.0,1,1,1,1.0,esc
2022-07-26,100734020@n,4,1,38700.0,4,1,1,1.1629355593381974,new
2022-07-26,1009483@n,217,1,33100.0,2,1,1,1.0543118531127325,esc
2022-07-26,101171490@n,223,1,111500.0,2,1,3,2.1507010098323063,esc-VIP
2022-07-26,10132999@n,28,1,13900.0,4,1,1,1.1629355593381974,new
2022-07-26,101403585@n,280,2,81993.0,1,2,2,1.9456881468872673,esc
2022-07-26,101612530@n,244,2,34700.0,2,2,1,1.4518054216402132,esc
2022-07-26,101671853@n,235,1,38800.0,2,1,1,1.0543118531127325,esc
2022-07-26,101743829@n,29,1,17400.0,4,1,1,1.1629355593381974,new
2022-07-26,101762375@n,55,1,43400.0,4,1,1,1.1629355593381974,new
2022-07-26,101769535@n,212,1,4500.0,2,1,1,1.0543118531127325,esc
2022-07-26,101807621@n,10,2,69800.0,4,2,2,2.108623706225465,new
2022-07-26,10192047@n,121,1,113500.0,3,1,3,2.2050128629450385,semi-VIP
2022-07-26,102050831@n,216,1,15400.0,2,1,1,1.0543118531127325,esc
2022-07-26,10210714@n,254,1,85800.0,1,1,2,1.5481945783597868,esc
2022-07-26,10213597@n,275,1,88600.0,1,1,2,1.5481945783597868,esc
2022-07-26,102142518@n,85,1,49800.0,4,1,1,1.1629355593381974,new
2022-07-26,10214471@n,116,1,38398.0,3,1,1,1.108623706225465,new
2022-07-26,102165060@n,106,3,57515.0,3,3,2,2.4518054216402128,ROYAL
2022-07-26,102188313@n,137,2,71863.0,3,2,2,2.0543118531127327,new
2022-07-26,102210757@n,225,2,71200.0,2,2,2,2.0,esc
2022-07-26,102239796@n,2,1,15400.0,4,1,1,1.1629355593381974,new
2022-07-26,102369340@n,31,1,38800.0,4,1,1,1.1629355593381974,new
2022-07-26,102468583@n,65,1,8900.0,4,1,1,1.1629355593381974,new
2022-07-26,102544780@n,40,1,38796.0,4,1,1,1.1629355593381974,new
2022-07-26,10263110@n,202,1,19800.0,2,1,1,1.0543118531127325,esc
2022-07-26,10263837@n,182,1,35793.0,2,1,1,1.0543118531127325,esc
2022-07-26,10265499@n,140,1,13900.0,3,1,1,1.108623706225465,new
2022-07-26,10269050@n,284,1,35400.0,1,1,1,1.0,esc
2022-07-26,103118302@n,245,1,34400.0,2,1,1,1.0543118531127325,esc
2022-07-26,103147122@n,274,1,53700.0,1,1,2,1.5481945783597868,esc
2022-07-26,103376515@n,173,2,70678.0,3,2,2,2.0543118531127327,new
2022-07-26,103380301@n,216,2,61000.0,2,2,2,2.0,esc
2022-07-26,10349918@n,217,1,35800.0,2,1,1,1.0543118531127325,esc
2022-07-26,103555338@n,191,1,16900.0,2,1,1,1.0543118531127325,esc
2022-07-26,103841365@n,38,1,16900.0,4,1,1,1.1629355593381974,new
2022-07-26,10386109@n,140,2,52400.0,3,2,2,2.0543118531127327,new
2022-07-26,1038841@n,64,2,53193.0,4,2,2,2.108623706225465,new
2022-07-26,10392780@n,46,1,30800.0,4,1,1,1.1629355593381974,new
2022-07-26,104003144@n,90,3,82069.0,3,3,2,2.4518054216402128,ROYAL
2022-07-26,104047598@n,61,2,90500.0,4,2,2,2.108623706225465,new
2022-07-26,104091087@n,67,1,35500.0,4,1,1,1.1629355593381974,new
2022-07-26,104177386@n,216,1,110655.0,2,1,3,2.1507010098323063,esc-VIP
2022-07-26,104222698@n,227,1,46200.0,2,1,1,1.0543118531127325,esc
