member_id,R,F,M,r_grade,f_grade,m_grade
10004031@n,206,1,32400.0,2,1,1
100094816@n,74,1,28400.0,4,1,1
10017164@n,206,1,34839.0,2,1,1
10019630@n,7,2,70600.0,4,2,2
10020545@n,127,1,41900.0,3,1,1
10021075@n,239,1,38700.0,2,1,1
100213738@n,9,1,15900.0,4,1,1
100248766@n,14,1,33900.0,4,1,1
100257260@n,206,1,114000.0,2,1,3
10026056@n,67,3,66739.0,4,3,2
100300081@n,364,1,21000.0,1,1,1
100407446@n,75,1,56400.0,4,1,2
100409635@n,36,1,38800.0,4,1,1
100421153@n,29,5,192300.0,4,4,3
10044543@n,75,1,49400.0,4,1,1
100452834@n,361,1,66600.0,1,1,2
100505918@n,216,1,35000.0,2,1,1
10053939@n,62,1,46100.0,4,1,1
100675503@n,263,1,40800.0,2,1,1
100734020@n,222,1,38700.0,2,1,1
10073891@n,17,1,12900.0,4,1,1
100837048@n,212,1,34000.0,2,1,1
10084263@n,113,1,70700.0,3,1,2
100859885@n,53,1,39900.0,4,1,1
10086444@n,49,1,39400.0,4,1,1
10107654@n,146,1,70800.0,3,1,2
10115166@n,62,1,40900.0,4,1,1
10116179@n,69,1,31300.0,4,1,1
101174728@n,44,1,40900.0,4,1,1
101227341@n,5,1,29900.0,4,1,1
101294658@n,32,1,36900.0,4,1,1
10132999@n,246,1,13900.0,2,1,1
101375905@n,171,1,60600.0,3,1,2
10140247@n,76,1,31300.0,4,1,1
101464729@n,184,1,17900.0,2,1,1
101506435@n,54,1,39400.0,4,1,1
101638761@n,206,1,32400.0,2,1,1
10169889@n,11,2,71800.0,4,2,2
101727884@n,87,1,31900.0,4,1,1
101743829@n,126,2,58979.0,3,2,2
101762375@n,273,1,43400.0,2,1,1
10180298@n,207,1,35000.0,2,1,1
101807621@n,4,5,184960.0,4,4,3
101910033@n,206,1,34200.0,2,1,1
10192047@n,339,1,113500.0,1,1,3
10202984@n,16,1,34900.0,4,1,1
1020340454@g,143,1,15900.0,3,1,1
102110169@n,198,1,39800.0,2,1,1
102122020@n,6,2,74300.0,4,2,2
102142518@n,303,1,49800.0,1,1,1
10214471@n,334,1,38398.0,1,1,1
1021454803@g,82,1,30800.0,4,1,1
102165060@n,68,5,91806.0,4,4,2
102167627@n,20,1,13900.0,4,1,1
102188313@n,37,3,111484.0,4,3,3
102239796@n,220,1,15400.0,2,1,1
102242878@n,84,1,57200.0,4,1,2
102369340@n,217,2,69036.0,2,2,2
102429750@n,146,1,101400.0,3,1,2
102468583@n,283,1,8900.0,1,1,1
102491096@n,116,1,46900.0,3,1,1
102500152@n,78,1,32800.0,4,1,1
102544780@n,258,1,38796.0,2,1,1
102587136@n,104,1,153000.0,3,1,3
102594008@n,98,1,13900.0,3,1,1
102608604@n,160,1,38100.0,3,1,1
10263837@n,45,1,29300.0,4,1,1
10265499@n,358,1,13900.0,1,1,1
102657701@g,65,1,28400.0,4,1,1
10268713@n,68,1,31400.0,4,1,1
10269050@n,188,1,67738.0,2,1,2
102721416@n,27,2,31200.0,4,2,1
10274023@n,22,3,153636.0,4,3,3
102752249@n,74,1,32400.0,4,1,1
102814364@n,144,1,15900.0,3,1,1
102831432@n,120,1,50600.0,3,1,1
10302390@n,126,1,65700.0,3,1,2
103095265@n,121,2,80700.0,3,2,2
103127011@n,124,1,16900.0,3,1,1
103199338@n,216,1,103600.0,2,1,3
103236345@n,92,1,13900.0,3,1,1
10323711@n,205,1,30400.0,2,1,1
103298102@n,180,1,50300.0,2,1,1
103376515@n,95,1,69875.0,3,1,2
10341732@n,141,1,40000.0,3,1,1
10348836@n,191,1,153000.0,2,1,3
103841365@n,256,1,16900.0,2,1,1
10386109@n,206,2,68418.0,2,2,2
1038841@n,282,1,16293.0,1,1,1
10392780@n,264,1,30800.0,2,1,1
104003144@n,308,1,32063.0,1,1,1
104047598@n,205,2,78024.0,2,2,2
104050752@n,35,1,36900.0,4,1,1
104091087@n,285,1,35500.0,1,1,1
104166985@n,162,1,42300.0,3,1,1
10424512@n,170,1,29800.0,3,1,1
10425755@n,219,1,41800.0,2,1,1
104301039@n,72,1,81800.0,4,1,2
104359341@n,9,1,28800.0,4,1,1
104362025@n,76,1,40700.0,4,1,1
104388463@n,356,1,32760.0,1,1,1
10439316@n,250,1,26800.0,2,1,1
104399380@n,106,1,36900.0,3,1,1
10442784@n,127,2,85100.0,3,2,2
104439612@n,75,1,65500.0,4,1,2
104470784@n,8,2,59320.0,4,2,2
104507096@n,36,1,40400.0,4,1,1
104520735@n,209,1,34876.0,2,1,1
10453333@n,65,1,31700.0,4,1,1
10457767@n,354,1,31600.0,1,1,1
104668066@n,71,1,34000.0,4,1,1
10474157@n,162,2,57800.0,3,2,2
10477850@n,68,2,45100.0,4,2,1
10480436@n,67,1,32400.0,4,1,1
10482953@n,180,1,40900.0,2,1,1
104994063@n,348,1,35793.0,1,1,1
105072970@n,327,1,38700.0,1,1,1
1051867554@g,5,1,37900.0,4,1,1
10527017@n,1,1,36900.0,4,1,1
10539413@n,332,1,22300.0,1,1,1
10558153@n,190,1,41000.0,2,1,1
10569049@n,166,1,12900.0,3,1,1
10580710@n,217,1,31400.0,2,1,1
10582416@n,91,1,82800.0,3,1,2
10598086@n,2,1,26405.0,4,1,1
106040033@n,126,1,54300.0,3,1,2
106114803@n,318,1,35500.0,1,1,1
106246875@n,35,1,158200.0,4,1,3
10638839@n,127,1,49800.0,3,1,1
10640590@n,256,1,39569.0,2,1,1
106415689@n,91,1,49800.0,3,1,1
106465767@n,102,1,11900.0,3,1,1
106512559@n,137,1,40900.0,3,1,1
10661156@n,345,1,36500.0,1,1,1
106694931@n,70,1,33012.0,4,1,1
10671304@n,129,1,31900.0,3,1,1
10671536@n,207,1,35000.0,2,1,1
106755939@n,253,2,29800.0,2,2,1
106798313@n,354,1,35647.0,1,1,1
10722658@n,176,1,39400.0,3,1,1
10724107@n,217,1,16100.0,2,1,1
10724306@n,84,1,38800.0,4,1,1
107261002@n,267,1,35500.0,2,1,1
10732962@n,171,1,62600.0,3,1,2
1074305@n,73,2,48600.0,4,2,1
107454028@n,194,1,43610.0,2,1,1
107543838@n,91,2,64100.0,3,2,2
10768980@n,194,1,17900.0,2,1,1
10786382@n,107,1,47600.0,3,1,1
10788213@n,44,1,102600.0,4,1,3
108118968@n,203,2,49400.0,2,2,1
10814605@n,138,1,40780.0,3,1,1
10826489@n,251,1,41400.0,2,1,1
10827263@n,1,1,37000.0,4,1,1
108291950@n,64,2,149808.0,4,2,3
108304649@n,173,1,30800.0,3,1,1
10832841@n,217,1,113993.0,2,1,3
108342882@n,6,1,37900.0,4,1,1
10835930@n,179,1,38800.0,3,1,1
108418145@n,90,2,192691.0,3,2,3
1085567@n,246,1,113500.0,2,1,3
10856158@n,13,1,40900.0,4,1,1
108581747@n,91,1,29900.0,3,1,1
108599547@n,265,1,28700.0,2,1,1
1086136@n,79,1,87000.0,4,1,2
10872526@n,115,1,11700.0,3,1,1
108779015@n,216,1,56985.0,2,1,2
10879592@n,334,1,33999.0,1,1,1
10887716@n,334,1,39125.0,1,1,1
108915001@n,58,1,95400.0,4,1,2
10893097@n,76,1,65800.0,4,1,2
109021891@n,260,1,38200.0,2,1,1
10912437@n,20,1,13900.0,4,1,1
109173297@n,211,1,36000.0,2,1,1
109293609@n,134,2,59600.0,3,2,2
10931152@n,116,1,36000.0,3,1,1
109322683@n,56,1,38900.0,4,1,1
109328480@n,67,2,171979.0,4,2,3
10940450@n,92,1,13900.0,3,1,1
109562494@n,207,1,12099.0,2,1,1
109597285@n,141,1,17900.0,3,1,1
10962397@n,9,2,78300.0,4,2,2
109775882@n,41,1,36900.0,4,1,1
109821260@n,60,1,15500.0,4,1,1
10986075@n,296,1,47300.0,1,1,1
109881941@n,111,1,12700.0,3,1,1
109882957@n,110,1,36700.0,3,1,1
10989183@n,47,1,31800.0,4,1,1
10994947@n,14,1,36900.0,4,1,1
1100049927@g,63,1,65800.0,4,1,2
110021152@n,65,1,35700.0,4,1,1
110025838@n,18,1,22100.0,4,1,1
110073769@n,171,1,29800.0,3,1,1
110257048@n,226,1,68600.0,2,1,2
11026447@n,74,1,53300.0,4,1,2
110269388@n,109,1,33900.0,3,1,1
110284475@n,8,1,49100.0,4,1,1
11030245@n,331,1,17400.0,1,1,1
11032535@n,331,1,40700.0,1,1,1
110408606@n,110,1,24000.0,3,1,1
11042265@n,26,2,79633.0,4,2,2
1104331@n,75,1,65800.0,4,1,2
110583373@n,88,1,16900.0,4,1,1
11064764@n,319,1,38900.0,1,1,1
110771920@n,9,3,119973.0,4,3,3
110787547@n,227,1,35600.0,2,1,1
11083633@n,277,1,40700.0,1,1,1
110898523@n,59,1,31400.0,4,1,1
11102967@n,70,1,31700.0,4,1,1
11110783@n,71,1,31400.0,4,1,1
11115826@n,62,1,31300.0,4,1,1
111181951@n,90,1,39400.0,3,1,1
111216573@n,269,1,38800.0,2,1,1
111229290@n,104,3,70500.0,3,3,2
11126263@n,199,1,45900.0,2,1,1
111286578@n,241,1,33200.0,2,1,1
11131171@n,229,1,15400.0,2,1,1
111313141@n,85,1,31800.0,4,1,1
111353133@n,117,2,65000.0,3,2,2
11136913@n,67,1,41568.0,4,1,1
11146372@n,355,1,110455.0,1,1,3
11149078@n,247,1,38700.0,2,1,1
11150720@n,58,1,32300.0,4,1,1
111569684@n,53,1,15900.0,4,1,1
111579067@n,4,2,37929.0,4,2,1
11162567@n,103,1,12900.0,3,1,1
111676180@n,266,1,15400.0,2,1,1
111690753@n,315,1,36900.0,1,1,1
11170739@n,216,1,33200.0,2,1,1
