date,member_id,R,F,M,r_grade,f_grade,m_grade,rfm_index,group
2023-03-01,10004031@n,206,1,32400.0,2,1,1,1.053524117701992,esc
2023-03-01,100094816@n,74,1,28400.0,4,1,1,1.1605723531059762,new
2023-03-01,10017164@n,206,1,34839.0,2,1,1,1.053524117701992,esc
2023-03-01,10019630@n,7,2,70600.0,4,2,2,2.107048235403984,new
2023-03-01,10020545@n,127,1,41900.0,3,1,1,1.1070482354039841,new
2023-03-01,10021075@n,239,1,38700.0,2,1,1,1.053524117701992,esc
2023-03-01,100213738@n,9,1,15900.0,4,1,1,1.1605723531059762,new
2023-03-01,100248766@n,14,1,33900.0,4,1,1,1.1605723531059762,new
2023-03-01,100257260@n,206,1,114000.0,2,1,3,2.1258110140327506,esc-VIP
2023-03-01,10026056@n,67,3,66739.0,4,3,2,2.517380669536613,ROYAL
2023-03-01,100300081@n,364,1,21000.0,1,1,1,1.0,esc
2023-03-01,100407446@n,75,1,56400.0,4,1,2,1.6967158012713555,new
2023-03-01,100409635@n,36,1,38800.0,4,1,1,1.1605723531059762,new
2023-03-01,100421153@n,29,5,192300.0,4,4,3,3.463856551834621,VIP
2023-03-01,10044543@n,75,1,49400.0,4,1,1,1.1605723531059762,new
2023-03-01,100452834@n,361,1,66600.0,1,1,2,1.5361434481653795,esc
2023-03-01,100505918@n,216,1,35000.0,2,1,1,1.053524117701992,esc
2023-03-01,10053939@n,62,1,46100.0,4,1,1,1.1605723531059762,new
2023-03-01,100675503@n,263,1,40800.0,2,1,1,1.053524117701992,esc
2023-03-01,100734020@n,222,1,38700.0,2,1,1,1.053524117701992,esc
2023-03-01,10073891@n,17,1,12900.0,4,1,1,1.1605723531059762,new
2023-03-01,100837048@n,212,1,34000.0,2,1,1,1.053524117701992,esc
2023-03-01,10084263@n,113,1,70700.0,3,1,2,1.6431916835693634,new
2023-03-01,100859885@n,53,1,39900.0,4,1,1,1.1605723531059762,new
2023-03-01,10086444@n,49,1,39400.0,4,1,1,1.1605723531059762,new
2023-03-01,10107654@n,146,1,70800.0,3,1,2,1.6431916835693634,new
2023-03-01,10115166@n,62,1,40900.0,4,1,1,1.1605723531059762,new
2023-03-01,10116179@n,69,1,31300.0,4,1,1,1.1605723531059762,new
2023-03-01,101174728@n,44,1,40900.0,4,1,1,1.1605723531059762,new
2023-03-01,101227341@n,5,1,29900.0,4,1,1,1.1605723531059762,new
2023-03-01,101294658@n,32,1,36900.0,4,1,1,1.1605723531059762,new
2023-03-01,10132999@n,246,1,13900.0,2,1,1,1.053524117701992,esc
2023-03-01,101375905@n,171,1,60600.0,3,1,2,1.6431916835693634,new
2023-03-01,10140247@n,76,1,31300.0,4,1,1,1.1605723531059762,new
2023-03-01,101464729@n,184,1,17900.0,2,1,1,1.053524117701992,esc
2023-03-01,101506435@n,54,1,39400.0,4,1,1,1.1605723531059762,new
2023-03-01,101638761@n,206,1,32400.0,2,1,1,1.053524117701992,esc
2023-03-01,10169889@n,11,2,71800.0,4,2,2,2.107048235403984,new
2023-03-01,101727884@n,87,1,31900.0,4,1,1,1.1605723531059762,new
2023-03-01,101743829@n,126,2,58979.0,3,2,2,2.053524117701992,new
2023-03-01,101762375@n,273,1,43400.0,2,1,1,1.053524117701992,esc
2023-03-01,10180298@n,207,1,35000.0,2,1,1,1.053524117701992,esc
2023-03-01,101807621@n,4,5,184960.0,4,4,3,3.463856551834621,VIP
2023-03-01,101910033@n,206,1,34200.0,2,1,1,1.053524117701992,esc
2023-03-01,10192047@n,339,1,113500.0,1,1,3,2.072286896330759,esc-VIP
2023-03-01,10202984@n,16,1,34900.0,4,1,1,1.1605723531059762,new
2023-03-01,1020340454@g,143,1,15900.0,3,1,1,1.1070482354039841,new
2023-03-01,102110169@n,198,1,39800.0,2,1,1,1.053524117701992,esc
2023-03-01,102122020@n,6,2,74300.0,4,2,2,2.107048235403984,new
2023-03-01,102142518@n,303,1,49800.0,1,1,1,1.0,esc
2023-03-01,10214471@n,334,1,38398.0,1,1,1,1.0,esc
2023-03-01,1021454803@g,82,1,30800.0,4,1,1,1.1605723531059762,new
2023-03-01,102165060@n,68,5,91806.0,4,4,2,2.927713103669242,ROYAL
2023-03-01,102167627@n,20,1,13900.0,4,1,1,1.1605723531059762,new
2023-03-01,102188313@n,37,3,111484.0,4,3,3,3.053524117701992,VIP
2023-03-01,102239796@n,220,1,15400.0,2,1,1,1.053524117701992,esc
2023-03-01,102242878@n,84,1,57200.0,4,1,2,1.6967158012713555,new
2023-03-01,102369340@n,217,2,69036.0,2,2,2,2.0,esc
2023-03-01,102429750@n,146,1,101400.0,3,1,2,1.6431916835693634,new
2023-03-01,102468583@n,283,1,8900.0,1,1,1,1.0,esc
2023-03-01,102491096@n,116,1,46900.0,3,1,1,1.1070482354039841,new
2023-03-01,102500152@n,78,1,32800.0,4,1,1,1.1605723531059762,new
2023-03-01,102544780@n,258,1,38796.0,2,1,1,1.053524117701992,esc
2023-03-01,102587136@n,104,1,153000.0,3,1,3,2.1793351317347427,semi-VIP
2023-03-01,102594008@n,98,1,13900.0,3,1,1,1.1070482354039841,new
2023-03-01,102608604@n,160,1,38100.0,3,1,1,1.1070482354039841,new
2023-03-01,10263837@n,45,1,29300.0,4,1,1,1.1605723531059762,new
2023-03-01,10265499@n,358,1,13900.0,1,1,1,1.0,esc
2023-03-01,102657701@g,65,1,28400.0,4,1,1,1.1605723531059762,new
2023-03-01,10268713@n,68,1,31400.0,4,1,1,1.1605723531059762,new
2023-03-01,10269050@n,188,1,67738.0,2,1,2,1.5896675658673716,esc
2023-03-01,102721416@n,27,2,31200.0,4,2,1,1.5709047872386046,new
2023-03-01,10274023@n,22,3,153636.0,4,3,3,3.053524117701992,VIP
2023-03-01,102752249@n,74,1,32400.0,4,1,1,1.1605723531059762,new
