date,signin,total
2019-01-01,13,13
2019-01-02,18,31
2019-01-03,10,41
2019-01-04,8,49
2019-01-05,10,59
2019-01-06,11,70
2019-01-07,10,80
2019-01-08,12,92
2019-01-09,7,99
2019-01-10,9,108
2019-01-11,5,113
2019-01-12,5,118
2019-01-13,5,123
2019-01-14,12,135
2019-01-15,13,148
2019-01-16,25681,25829
2019-01-17,59,25888
2019-01-18,51,25939
2019-01-19,12,25951
2019-01-20,60,26011
2019-01-21,39,26050
2019-01-22,56,26106
2019-01-23,51,26157
2019-01-24,50,26207
2019-01-25,42,26249
2019-01-26,10,26259
2019-01-27,59,26318
2019-01-28,41,26359
2019-01-29,62,26421
2019-01-30,70,26491
2019-01-31,29,26520
2019-02-01,18,26538
2019-02-02,6,26544
2019-02-03,39,26583
2019-02-04,36,26619
2019-02-05,25,26644
2019-02-06,31,26675
2019-02-07,65,26740
2019-02-08,68,26808
2019-02-09,10,26818
2019-02-10,101,26919
2019-02-11,43,26962
2019-02-12,66,27028
2019-02-13,43,27071
2019-02-14,48,27119
2019-02-15,47,27166
2019-02-16,6,27172
2019-02-17,70,27242
2019-02-18,49,27291
2019-02-19,44,27335
2019-02-20,46,27381
2019-02-21,50,27431
2019-02-22,38,27469
2019-02-23,8,27477
2019-02-24,46,27523
2019-02-25,41,27564
2019-02-26,49,27613
2019-02-27,43,27656
2019-02-28,64,27720
2019-03-01,7,27727
2019-03-02,51,27778
2019-03-03,40,27818
2019-03-04,33,27851
2019-03-05,19,27870
2019-03-06,24,27894
2019-03-07,0,27894
2019-03-08,1,27895
2019-03-09,0,27895
2019-03-10,2,27897
2019-03-11,3,27900
2019-03-12,1,27901
2019-03-13,0,27901
2019-03-14,0,27901
2019-03-15,8,27909
2019-03-16,81,27990
2019-03-17,73,28063
2019-03-18,110,28173
2019-03-19,80,28253
2019-03-20,70,28323
2019-03-21,75,28398
2019-03-22,9,28407
2019-03-23,100,28507
2019-03-24,66,28573
2019-03-25,84,28657
2019-03-26,75,28732
2019-03-27,80,28812
2019-03-28,72,28884
2019-03-29,10,28894
2019-03-30,78,28972
2019-03-31,71,29043
2019-04-01,97,29140
2019-04-02,96,29236
2019-04-03,85,29321
2019-04-04,77,29398
2019-04-05,9,29407
2019-04-06,79,29486
2019-04-07,63,29549
2019-04-08,85,29634
2019-04-09,78,29712
2019-04-10,78,29790
2019-04-11,79,29869
2019-04-12,10,29879
2019-04-13,90,29969
2019-04-14,55,30024
2019-04-15,90,30114
2019-04-16,81,30195
2019-04-17,80,30275
2019-04-18,64,30339
2019-04-19,12,30351
2019-04-20,72,30423
2019-04-21,65,30488
2019-04-22,85,30573
2019-04-23,78,30651
2019-04-24,93,30744
2019-04-25,76,30820
2019-04-26,7,30827
2019-04-27,76,30903
2019-04-28,67,30970
2019-04-29,85,31055
2019-04-30,61,31116
2019-05-01,63,31179
2019-05-02,85,31264
2019-05-03,6,31270
2019-05-04,99,31369
2019-05-05,48,31417
2019-05-06,64,31481
2019-05-07,86,31567
2019-05-08,77,31644
2019-05-09,81,31725
2019-05-10,7,31732
2019-05-11,84,31816
2019-05-12,60,31876
2019-05-13,106,31982
2019-05-14,99,32081
2019-05-15,90,32171
2019-05-16,86,32257
2019-05-17,9,32266
2019-05-18,118,32384
2019-05-19,93,32477
2019-05-20,87,32564
2019-05-21,86,32650
2019-05-22,74,32724
2019-05-23,85,32809
2019-05-24,9,32818
2019-05-25,110,32928
2019-05-26,89,33017
2019-05-27,92,33109
2019-05-28,111,33220
2019-05-29,112,33332
2019-05-30,100,33432
2019-05-31,13,33445
2019-06-01,106,33551
2019-06-02,73,33624
2019-06-03,128,33752
2019-06-04,103,33855
2019-06-05,74,33929
2019-06-06,69,33998
2019-06-07,18,34016
2019-06-08,131,34147
2019-06-09,103,34250
2019-06-10,115,34365
2019-06-11,118,34483
2019-06-12,86,34569
2019-06-13,89,34658
2019-06-14,11,34669
2019-06-15,120,34789
2019-06-16,89,34878
2019-06-17,97,34975
2019-06-18,118,35093
2019-06-19,101,35194
2019-06-20,92,35286
2019-06-21,11,35297
2019-06-22,109,35406
2019-06-23,60,35466
2019-06-24,92,35558
2019-06-25,101,35659
2019-06-26,101,35760
2019-06-27,76,35836
2019-06-28,14,35850
2019-06-29,105,35955
2019-06-30,69,36024
2019-07-01,123,36147
2019-07-02,203,36350
2019-07-03,183,36533
2019-07-04,196,36729
2019-07-05,22,36751
2019-07-06,240,36991
2019-07-07,130,37121
2019-07-08,161,37282
2019-07-09,147,37429
2019-07-10,173,37602
2019-07-11,171,37773
2019-07-12,8,37781
2019-07-13,171,37952
2019-07-14,129,38081
2019-07-15,199,38280
2019-07-16,181,38461
2019-07-17,138,38599
2019-07-18,86,38685
2019-07-19,6,38691
2019-07-20,115,38806
2019-07-21,83,38889
2019-07-22,124,39013
2019-07-23,133,39146
2019-07-24,103,39249
2019-07-25,104,39353
2019-07-26,5,39358
2019-07-27,148,39506
2019-07-28,79,39585
2019-07-29,87,39672
2019-07-30,92,39764
2019-07-31,96,39860
2019-08-01,119,39979
2019-08-02,10,39989
2019-08-03,137,40126
2019-08-04,96,40222
2019-08-05,122,40344
2019-08-06,115,40459
2019-08-07,111,40570
2019-08-08,115,40685
2019-08-09,9,40694
2019-08-10,181,40875
2019-08-11,124,40999
2019-08-12,170,41169
2019-08-13,135,41304
2019-08-14,141,41445
2019-08-15,89,41534
2019-08-16,15,41549
2019-08-17,174,41723
2019-08-18,82,41805
2019-08-19,152,41957
2019-08-20,121,42078
2019-08-21,121,42199
2019-08-22,93,42292
2019-08-23,9,42301
2019-08-24,119,42420
2019-08-25,62,42482
2019-08-26,107,42589
2019-08-27,118,42707
2019-08-28,99,42806
2019-08-29,99,42905
2019-08-30,16,42921
2019-08-31,136,43057
2019-09-01,81,43138
2019-09-02,115,43253
2019-09-03,91,43344
2019-09-04,102,43446
2019-09-05,129,43575
2019-09-06,16,43591
2019-09-07,166,43757
2019-09-08,85,43842
2019-09-09,90,43932
2019-09-10,68,44000
2019-09-11,56,44056
2019-09-12,53,44109
2019-09-13,9,44118
2019-09-14,119,44237
2019-09-15,115,44352
2019-09-16,140,44492
2019-09-17,131,44623
2019-09-18,126,44749
2019-09-19,101,44850
2019-09-20,8,44858
2019-09-21,143,45001
2019-09-22,98,45099
2019-09-23,102,45201
2019-09-24,93,45294
2019-09-25,108,45402
2019-09-26,88,45490
2019-09-27,5,45495
2019-09-28,100,45595
2019-09-29,90,45685
2019-09-30,98,45783
2019-10-01,115,45898
2019-10-02,152,46050
2019-10-03,90,46140
2019-10-04,7,46147
2019-10-05,141,46288
2019-10-06,62,46350
2019-10-07,109,46459
2019-10-08,85,46544
2019-10-09,59,46603
2019-10-10,95,46698
2019-10-11,8,46706
2019-10-12,130,46836
2019-10-13,81,46917
2019-10-14,95,47012
2019-10-15,82,47094
2019-10-16,82,47176
2019-10-17,75,47251
2019-10-18,3,47254
2019-10-19,103,47357
2019-10-20,59,47416
2019-10-21,98,47514
2019-10-22,95,47609
2019-10-23,73,47682
2019-10-24,78,47760
2019-10-25,4,47764
2019-10-26,88,47852
2019-10-27,62,47914
2019-10-28,79,47993
2019-10-29,80,48073
2019-10-30,87,48160
2019-10-31,78,48238
2019-11-01,12,48250
2019-11-02,113,48363
2019-11-03,80,48443
2019-11-04,95,48538
2019-11-05,90,48628
2019-11-06,85,48713
2019-11-07,75,48788
2019-11-08,8,48796
2019-11-09,115,48911
2019-11-10,78,48989
2019-11-11,79,49068
2019-11-12,86,49154
2019-11-13,68,49222
2019-11-14,87,49309
2019-11-15,6,49315
2019-11-16,83,49398
2019-11-17,69,49467
2019-11-18,87,49554
2019-11-19,76,49630
2019-11-20,75,49705
2019-11-21,64,49769
2019-11-22,5,49774
2019-11-23,72,49846
2019-11-24,55,49901
2019-11-25,86,49987
2019-11-26,80,50067
2019-11-27,62,50129
2019-11-28,59,50188
2019-11-29,8,50196
2019-11-30,77,50273
2019-12-01,66,50339
2019-12-02,87,50426
2019-12-03,80,50506
2019-12-04,81,50587
2019-12-05,70,50657
2019-12-06,6,50663
2019-12-07,95,50758
2019-12-08,49,50807
2019-12-09,189,50996
2019-12-10,190,51186
2019-12-11,171,51357
2019-12-12,129,51486
2019-12-13,14,51500
2019-12-14,181,51681
2019-12-15,128,51809
2019-12-16,175,51984
2019-12-17,159,52143
2019-12-18,174,52317
2019-12-19,116,52433
2019-12-20,17,52450
2019-12-21,281,52731
2019-12-22,180,52911
2019-12-23,126,53037
2019-12-24,107,53144
2019-12-25,68,53212
2019-12-26,97,53309
2019-12-27,16,53325
2019-12-28,120,53445
2019-12-29,63,53508
2019-12-30,84,53592
2019-12-31,58,53650
2020-01-01,68,53718
2020-01-02,128,53844
2020-01-03,10,53854
2020-01-04,139,53992
2020-01-05,81,54072
2020-01-06,85,54156
2020-01-07,87,54242
2020-01-08,87,54329
2020-01-09,96,54425
2020-01-10,4,54429
2020-01-11,117,54545
2020-01-12,65,54610
2020-01-13,81,54690
2020-01-14,84,54774
2020-01-15,90,54863
2020-01-16,92,29283
2020-01-17,7,29242
2020-01-18,108,29305
2020-01-19,64,29369
2020-01-20,81,29396
2020-01-21,69,29434
2020-01-22,56,29445
2020-01-23,45,29451
2020-01-24,7,29414
2020-01-25,61,29441
2020-01-26,50,29491
2020-01-27,97,29535
2020-01-28,111,29614
2020-01-29,88,29650
2020-01-30,80,29664
2020-01-31,12,29650
2020-02-01,113,29746
2020-02-02,77,29822
2020-02-03,87,29875
2020-02-04,94,29938
2020-02-05,109,30025
2020-02-06,105,30109
2020-02-07,15,30071
2020-02-08,123,30132
2020-02-09,88,30218
2020-02-10,90,30220
2020-02-11,107,30294
2020-02-12,102,30342
2020-02-13,84,30393
2020-02-14,11,30367
2020-02-15,121,30446
2020-02-16,69,30515
2020-02-17,97,30554
2020-02-18,80,30596
2020-02-19,87,30647
2020-02-20,76,30690
2020-02-21,10,30657
2020-02-22,93,30716
2020-02-23,83,30799
2020-02-24,81,30842
