date,landingPage,sessions,screenPageViewsPerSession,activeUsers,purchaserConversionRate,totalPurchasers,userConversionRate:view_item,userConversionRate:scroll
2023-03-06,/,437,9.16933638443936,395,0.14430379746835442,57,0.54177215189873418,0.75443037974683547
2023-03-06,/article/blog/8/15716/,159,1.2578616352201257,156,0,0,0.02564102564102564,0.0641025641025641
2023-03-06,/article/blog/8/12516/,155,1.4064516129032258,153,0,0,0.0065359477124183009,0.06535947712418301
2023-03-06,/article/blog/8/13286/,151,1.119205298013245,149,0,0,0,0.013422818791946308
2023-03-06,/article/blog/8/13117/,150,1.3466666666666667,146,0,0,0,0.034246575342465752
2023-03-06,/article/blog/8/15165/,145,1.2206896551724138,137,0,0,0.0072992700729927005,0.043795620437956206
2023-03-06,/article/blog/8/14208/,138,1.3478260869565217,132,0.007575757575757576,1,0.015151515151515152,0.045454545454545456
2023-03-06,/article/blog/8/19839/,120,1.1666666666666667,114,0,0,0,0.096491228070175433
2023-03-06,/article/blog/8/19536/,102,1.1862745098039216,96,0,0,0.010416666666666666,0.16666666666666666
2023-03-06,/article/blog/8/12833/,96,1.0729166666666667,96,0,0,0,0.020833333333333332
2023-03-06,/article/blog/8/14576/,89,1.1348314606741574,88,0,0,0,0.068181818181818177
2023-03-06,/article/blog/8/12066/,88,1.25,86,0,0,0,0.034883720930232558
2023-03-06,/article/blog/8/15871/,87,1.896551724137931,86,0,0,0,0.16279069767441862
2023-03-06,/article/blog/8/13332/,84,1.2857142857142858,81,0,0,0,0.012345679012345678
2023-03-06,/article/blog/8/13012/,81,1.1604938271604939,76,0,0,0,0.013157894736842105
2023-03-06,(not set),80,0,62,0,0,0,0.048387096774193547
2023-03-06,/article/blog/8/14862/,69,1.1014492753623188,68,0,0,0,0.058823529411764705
2023-03-06,/article/blog/8/16688/,69,1.2608695652173914,69,0,0,0.014492753623188406,0.028985507246376812
2023-03-06,/article/blog/8/9719/,67,1.208955223880597,67,0,0,0,0.059701492537313432
2023-03-06,/article/blog/8/9799/,56,1.0357142857142858,56,0,0,0,0.035714285714285712
2023-03-06,/article/blog/8/19423/categoryno/1/,55,1.1090909090909091,53,0,0,0,0.075471698113207544
2023-03-06,/article/blog/8/16499/,54,1.2962962962962963,54,0,0,0,0.018518518518518517
2023-03-06,/article/blog/8/15959/,52,2.2307692307692308,52,0,0,0,0.076923076923076927
2023-03-06,/article/blog/8/15165/page/7/,48,1.8541666666666667,47,0,0,0,0.0425531914893617
2023-03-06,/article/notice/1/27587/,48,4.25,43,0.069767441860465115,3,0.16279069767441862,0.37209302325581395
2023-03-06,/article/blog/8/14133/,43,1.2325581395348837,43,0,0,0,0.093023255813953487
2023-03-06,/article/blog/8/15399/,42,1.1904761904761905,42,0,0,0,0.023809523809523808
2023-03-06,/article/blog/8/12220/,41,1.1951219512195121,40,0,0,0,0.1
2023-03-06,/article/blog/8/13736/,39,1.0769230769230769,39,0,0,0,0.05128205128205128
2023-03-06,/article/blog/8/15786/,37,1.1081081081081081,37,0,0,0,0.054054054054054057
