date,pagepath,percentScrolled,sessions,screenPageViews,screenPageViewsPerSession
2023-03-05,/,,554,1066,1.924187725631769
2023-03-05,/product/list_thumb.html,,380,1376,3.6210526315789475
2023-03-05,/,90,309,0,0
2023-03-05,/article/blog/8/15716/,,243,263,1.0823045267489713
2023-03-05,/member/login.html,,232,458,1.9741379310344827
2023-03-05,/protected/loginSns.html,,224,0,0
2023-03-05,/article/blog/8/13117/,,218,230,1.0550458715596329
2023-03-05,/member/login.html,90,216,0,0
2023-03-05,/article/blog/8/12516/,,204,213,1.0441176470588236
2023-03-05,/article/blog/8/19839/,,192,197,1.0260416666666667
2023-03-05,/product/%EC%9D%B4%EB%B8%8C%EC%BD%98%EB%8F%94-%EB%A6%AC%EC%96%BC-0035/286/category/83/display/1/,,187,302,1.6149732620320856
2023-03-05,/article/blog/8/15165/,,180,186,1.0333333333333334
2023-03-05,/article/blog/8/13286/,,168,183,1.0892857142857142
2023-03-05,/article/blog/8/12833/,,149,172,1.1543624161073827
2023-03-05,/article/blog/8/14576/,,138,203,1.4710144927536233
2023-03-05,/article/blog/8/14208/,,136,199,1.463235294117647
2023-03-05,/article/blog/8/12066/,,131,140,1.0687022900763359
2023-03-05,/article/blog/8/15871/,,126,149,1.1825396825396826
2023-03-05,/order/orderform.html,,124,192,1.5483870967741935
2023-03-05,/order/orderform.html,90,121,0,0
2023-03-05,/article/blog/8/9799/,,110,113,1.0272727272727273
2023-03-05,/article/blog/8/13012/,,107,115,1.0747663551401869
2023-03-05,/order/order_result.html,,100,118,1.18
2023-03-05,/order/basket.html,,89,210,2.3595505617977528
2023-03-05,/article/blog/8/13332/,,85,103,1.2117647058823529
2023-03-05,/article/blog/8/9719/,,85,89,1.0470588235294118
2023-03-05,/article/blog/8/15959/,,84,101,1.2023809523809523
2023-03-05,/myshop/index.html,,80,141,1.7625
2023-03-05,/order/order_result.html,90,77,0,0
2023-03-05,/protected/loginSns.html,90,76,0,0
2023-03-05,/article/blog/8/16499/,,75,76,1.0133333333333334
2023-03-05,/article/blog/8/16688/,,74,79,1.0675675675675675
2023-03-05,/article/blog/8/19423/categoryno/1/,,74,85,1.1486486486486487
2023-03-05,/article/blog/8/19536/,,72,74,1.0277777777777777
2023-03-05,/coupon/coupon_select.html,,70,7,0.1
2023-03-05,/article/blog/8/14862/,,68,70,1.0294117647058822
2023-03-05,/article/blog/8/15399/,,67,73,1.0895522388059702
2023-03-05,/article/blog/8/15165/page/7/,,64,68,1.0625
2023-03-05,/article/blog/8/12220/,,63,151,2.3968253968253967
2023-03-05,/product/list_thumb.html,90,63,0,0
2023-03-05,/article/blog/8/15786/,,61,68,1.1147540983606556
2023-03-05,/product/%EC%9D%B4%EB%B8%8C%EC%BB%B5-mini-s-l/262/category/97/display/1/,,60,79,1.3166666666666667
2023-03-05,/product/layer_option.html,,57,0,0
2023-03-05,/product/%EC%9D%B4%EB%B8%8C%EC%BD%98%EB%8F%94-%EB%A6%AC%EC%96%BC-0035/286/category/83/display/1/,90,56,0,0
2023-03-05,/article/blog/8/13333/,,53,62,1.1698113207547169
2023-03-05,/article/blog/8/13736/,,52,52,1
2023-03-05,/intro/adult_im.html,,52,110,2.1153846153846154
2023-03-05,/product/%EC%95%84%EA%B7%B8%EB%A1%9C%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%EB%A6%AC%C2%AE-%EC%9D%B4%EB%B8%8C%EC%BD%98%EB%8F%94-%EC%9A%B8%ED%8A%B8%EB%9D%BC%EC%94%AC/278/category/83/display/1/,,51,74,1.4509803921568627
2023-03-05,/myshop/order/list.html,,50,104,2.08
2023-03-05,/article/blog/8/15262/,,47,50,1.0638297872340425
2023-03-05,/article/blog/8/14046/,,46,45,0.97826086956521741
2023-03-05,/product/%EB%9F%AC%EB%B2%84-%EC%84%B8%ED%8A%B8lover-set/243/category/83/display/1/,,44,69,1.5681818181818181
2023-03-05,/product/%EC%9D%B8%ED%8B%B0%EB%B0%8B%EC%A0%A4-%EB%82%B4%EC%B6%94%EB%9F%B4130ml/281/category/85/display/1/,,43,54,1.2558139534883721
2023-03-05,/article/notice/1/27587/,,42,43,1.0238095238095237
2023-03-05,/article/blog/8/14766/,,40,40,1
2023-03-05,/article/blog/8/13863/,,39,39,1
2023-03-05,/article/blog/8/4642/,,39,44,1.1282051282051282
2023-03-05,/intro/adult_im.html,90,39,0,0
2023-03-05,/product/%EC%95%84%EA%B7%B8%EB%A1%9C%ED%8F%AC%EB%A0%88%EC%8A%A4%ED%8A%B8%EB%A6%AC%C2%AE-%EC%9D%B4%EB%B8%8C-%ED%95%91%EA%B1%B0%EB%8F%94/264/category/83/display/1/,,39,42,1.0769230769230769
2023-03-05,/category/condom/83/,,38,101,2.6578947368421053
2023-03-05,/index.html,,38,52,1.368421052631579
2023-03-05,/myshop/coupon/coupon.html,,36,91,2.5277777777777777
2023-03-05,/product/md%EB%A3%A8%EB%B8%8C-%EC%8B%A4%EB%A6%AC%EC%BD%98100ml/242/category/85/display/1/,,36,47,1.3055555555555556
2023-03-05,/article/blog/8/19839/categoryno/1/,,35,35,1
2023-03-05,/article/blog/8/14133/,,34,45,1.3235294117647058
2023-03-05,/category/play/131,,33,35,1.0606060606060606
2023-03-05,/member/join_result.html,,33,33,1
2023-03-05,/coupon/coupon_select.html,90,31,0,0
2023-03-05,/product/%EC%9D%B8%ED%8B%B0%EB%B0%8B%EC%A0%A4-%EB%B0%B1%EB%8F%84%EC%96%B4130ml/517/category/85/display/1/,,31,34,1.096774193548387
2023-03-05,/article/blog/8/11097/,,30,32,1.0666666666666667
2023-03-05,/article/blog/8/19592/,,30,31,1.0333333333333334
2023-03-05,/article/blog/8/57/,,30,34,1.1333333333333333
2023-03-05,/article/blog/8/13116/,,29,34,1.1724137931034482
2023-03-05,/article/blog/8/9597/page/17/,,29,30,1.0344827586206897
2023-03-05,/article/blog/8/16211/,,28,28,1
2023-03-05,/product/%EC%9D%B4%EB%B8%8C%EC%BD%98%EB%8F%94-%EC%8A%AC%EB%A6%BC/275/category/83/display/1/,,28,39,1.3928571428571428
2023-03-05,/article/blog/8/16865/,,26,27,1.0384615384615385
2023-03-05,/article/blog/8/25900/,,26,25,0.96153846153846156
