nccKeywordId,keyword,customerId,nccAdgroupId,nccCampaignId,userLock,inspectStatus,bidAmt,useGroupBidAmt,delFlag,regTm,editTm,status,statusReason,nccQi
nkw-a001-01-000000602335943,이브젤,829946,grp-a001-01-000000003253631,cmp-a001-01-000000000541284,False,APPROVED,410,False,False,2017-05-18T02:51:33.000Z,2018-06-14T03:14:24.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 7}
nkw-a001-01-000000602335944,이브퍼스널젤,829946,grp-a001-01-000000003253631,cmp-a001-01-000000000541284,False,APPROVED,70,False,False,2017-05-18T02:51:33.000Z,2019-05-03T05:23:12.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 5}
nkw-a001-01-000001757856101,유기농이브젤,829946,grp-a001-01-000000003253631,cmp-a001-01-000000000541284,False,APPROVED,170,False,False,2019-01-18T08:36:19.000Z,2019-05-03T05:23:12.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000002000000360,이브유기농젤,829946,grp-a001-01-000000003253631,cmp-a001-01-000000000541284,False,APPROVED,200,False,False,2019-05-09T06:34:07.000Z,2019-05-09T06:34:43.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000002000004075,이브마사지젤,829946,grp-a001-01-000000003253631,cmp-a001-01-000000000541284,False,APPROVED,200,False,False,2019-05-09T06:36:23.000Z,2019-05-09T06:36:45.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000000952421344,성인젤,829946,grp-a001-01-000000004990685,cmp-a001-01-000000000541284,False,APPROVED,420,False,False,2017-11-25T04:01:18.000Z,2019-07-01T03:11:09.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 5}
nkw-a001-01-000002047901664,러브젤,829946,grp-a001-01-000000004990685,cmp-a001-01-000000000541284,True,PENDING,660,False,False,2019-05-30T03:10:20.000Z,2019-06-04T00:47:10.000Z,PAUSED,KEYWORD_DISAPPROVED,{'qiGrade': 5}
nkw-a001-01-000002047901666,마사지젤,829946,grp-a001-01-000000004990685,cmp-a001-01-000000000541284,False,APPROVED,470,False,False,2019-05-30T03:10:20.000Z,2020-05-15T05:42:59.000Z,ELIGIBLE,ELIGIBLE,{'qiGrade': 4}
nkw-a001-01-000002052277295,유기농러브젤,829946,grp-a001-01-000000004990685,cmp-a001-01-000000000541284,True,PENDING,70,False,False,2019-05-31T06:47:37.000Z,2020-03-23T02:47:54.000Z,PAUSED,KEYWORD_DISAPPROVED,{'qiGrade': 4}
nkw-a001-01-000002052278007,친환경러브젤,829946,grp-a001-01-000000004990685,cmp-a001-01-000000000541284,True,PENDING,70,False,False,2019-05-31T06:48:16.000Z,2020-03-23T02:47:55.000Z,PAUSED,KEYWORD_DISAPPROVED,{'qiGrade': 4}
nkw-a001-01-000001236995742,러브젤,829946,grp-a001-01-000000006462527,cmp-a001-01-000000001106103,True,PENDING,70,False,False,2018-04-25T01:55:10.000Z,2020-03-13T09:03:57.000Z,PAUSED,KEYWORD_DISAPPROVED,{'qiGrade': 3}
nkw-a001-01-000001255437182,여성청결제,829946,grp-a001-01-000000006462527,cmp-a001-01-000000001106103,True,APPROVED,1260,False,False,2018-05-04T03:22:43.000Z,2018-06-14T01:54:08.000Z,PAUSED,KEYWORD_PAUSED,{'qiGrade': 4}
nkw-a001-01-000001255437184,여성젤,829946,grp-a001-01-000000006462527,cmp-a001-01-000000001106103,True,APPROVED,700,False,False,2018-05-04T03:22:43.000Z,2018-06-14T01:54:07.000Z,PAUSED,KEYWORD_PAUSED,{'qiGrade': 4}
nkw-a001-01-000001255437186,여성청결제추천,829946,grp-a001-01-000000006462527,cmp-a001-01-000000001106103,True,APPROVED,3150,False,False,2018-05-04T03:22:43.000Z,2018-06-14T01:54:08.000Z,PAUSED,KEYWORD_PAUSED,{'qiGrade': 4}
