keyword,ctr,clkCnt,viewCnt,cpc,ccnt,avgRnk,id,impCnt,salesAmt
EVE젤,1.58,3,0,385,0,1,nkw-a001-01-000004747509216,191,1155
올리브영이브젤,2.66,13,0,91,1,1.3,nkw-a001-01-000004747509217,490,1177
유기농이브젤,1.48,1,0,99,2,1,nkw-a001-01-000004747509218,68,99
이브마사지젤,0,0,0,0,0,1,nkw-a001-01-000004747509219,7,0
이브언센티드젤,0,0,0,0,0,1,nkw-a001-01-000004747509220,2,0
이브유기농젤,16.67,1,0,77,0,1,nkw-a001-01-000004747509221,6,77
이브젤,4.92,149,0,165,19,1,nkw-a001-01-000004747509222,3034,24607
이브젤라벤더,0,0,0,0,0,1,nkw-a001-01-000004747509223,11,0
이브젤무향,0,0,0,0,0,1,nkw-a001-01-000004747509224,9,0
이브젤언센티드,6.1,5,0,436,1,1,nkw-a001-01-000004747509225,82,2178
이브퍼스널,13.05,6,0,77,0,1,nkw-a001-01-000004747509226,46,462
이브퍼스널젤,3.47,6,0,99,2,1,nkw-a001-01-000004747509227,173,594
이브젤,0.83,4,0,77,0,1.3,nkw-a001-01-000004739269517,483,308
EVE젤,0,0,0,0,0,3.5,nkw-a001-01-000004739269518,51,0
올리브영이브젤,3.23,1,0,77,0,1.6,nkw-a001-01-000004739269519,31,77
유기농이브젤,0,0,0,0,0,1.4,nkw-a001-01-000004739269521,40,0
이브마사지젤,0,0,0,0,0,2,nkw-a001-01-000004739269523,1,0
이브젤라벤더,0,0,0,0,0,2.2,nkw-a001-01-000004739269526,5,0
이브젤언센티드,0,0,0,0,0,2.2,nkw-a001-01-000004739269528,29,0
이브퍼스널,0,0,0,0,0,2,nkw-a001-01-000004739269529,2,0
이브퍼스널젤,5.56,1,0,77,0,1.3,nkw-a001-01-000004739269530,18,77
퍼스널이브젤,0,0,0,0,0,1,nkw-a001-01-000004739269531,1,0
체레미마카젤,1.06,1,0,77,1,1,nkw-a001-01-000004777961351,95,77
체레미마카인티밋젤,3.45,1,0,77,0,1,nkw-a001-01-000004777961354,29,77
이브젤리뉴얼,0,0,0,0,0,1.3,nkw-a001-01-000004777961355,3,0
인티밋젤,0,0,0,0,0,1.6,nkw-a001-01-000004884739732,27,0
체레미마카생리대,0,0,0,0,0,1,nkw-a001-01-000004777945713,7,0
이브피팬티,0,0,0,0,0,3.2,nkw-a001-01-000004777938667,22,0
체레미마카생리팬티,20,1,0,77,0,1,nkw-a001-01-000004777938780,5,77
체레미마카팬티,0,0,0,0,0,1,nkw-a001-01-000004777938787,1,0
이브컵,10.55,125,0,1063,12,1.3,nkw-a001-01-000004739263924,1185,132825
이브생리컵,9.56,13,0,384,1,1.8,nkw-a001-01-000004747197016,136,4994
체레미마카여성청결제,0,0,0,0,0,1,nkw-a001-01-000004888139555,10,0
윤활제,0.22,8,0,1782,1,3.5,nkw-a001-01-000004754763594,3679,14256
여성젤,1.6,28,0,2010,0,2.4,nkw-a001-01-000004754763595,1758,56276
수용성젤,0.61,16,0,1876,0,1.7,nkw-a001-01-000004754763597,2631,30008
부부젤,1.28,9,0,2166,0,2.3,nkw-a001-01-000004754763599,708,19492
이너뷰티젤,1.74,3,0,1258,0,2.8,nkw-a001-01-000004754763600,173,3773
여성젤추천,2.46,3,0,1309,0,1,nkw-a001-01-000004754763601,122,3927
여성질건조,0,0,0,0,0,11.1,nkw-a001-01-000004754763602,8,0
부부성인젤,0,0,0,0,0,1,nkw-a001-01-000004754766315,10,0
아스트로글래이드,0,0,0,0,0,1,nkw-a001-01-000004754766322,8,0
부부관계질윤활제,0.85,10,0,543,1,1,nkw-a001-01-000004754766327,1177,5434
고려티엠,4.1,12,0,330,0,1,nkw-a001-01-000004754766329,293,3960
마사지오일,0,0,0,0,0,10.9,nkw-a001-01-000004754766337,1446,0
페페바디젤,0,0,0,0,0,1,nkw-a001-01-000004754766340,18,0
오르메스,0.8,10,0,1722,0,1.1,nkw-a001-01-000004754766343,1259,17215
NIGHTLYNIGHT,0,0,0,0,0,2.8,nkw-a001-01-000004754766350,1172,0
PEPEE,0.31,1,0,341,0,1,nkw-a001-01-000004754766352,325,341
남성젤,1.89,2,0,1265,0,1.1,nkw-a001-01-000004754766353,106,2530
질보습제,1.9,7,0,1845,0,3.3,nkw-a001-01-000004754766354,370,12914
질케어,0,0,0,0,0,8.5,nkw-a001-01-000004754766355,32,0
성윤활젤,11.12,1,0,77,0,1,nkw-a001-01-000004754766357,9,77
올리브영마사지젤,0.33,6,0,935,0,1,nkw-a001-01-000004754766358,1827,5610
러브미마사지젤,2.54,2,0,506,0,1,nkw-a001-01-000004754766360,79,1012
젤추천,0.33,9,0,1304,0,1.2,nkw-a001-01-000004754766361,2732,11737
질윤활재,1.01,33,0,1134,1,1.3,nkw-a001-01-000004754766365,3290,37411
사랑젤,3.85,6,0,785,0,1,nkw-a001-01-000004754766367,156,4708
부부관계오일,0,0,0,0,0,1,nkw-a001-01-000004754766368,72,0
여성윤활유,3.15,4,0,1128,0,1,nkw-a001-01-000004754766369,127,4510
부부관계윤활제,0.2,1,0,1133,0,1.1,nkw-a001-01-000004754766371,515,1133
Y존오일,0.6,2,0,1810,0,2.9,nkw-a001-01-000004754766373,338,3619
핫오일,0.79,2,0,1155,0,1.1,nkw-a001-01-000004754766377,256,2310
아스트라글라이드,0.71,8,0,766,0,1.1,nkw-a001-01-000004754766378,1141,6127
러브핫젤,2.17,4,0,1150,0,1,nkw-a001-01-000004754766379,185,4598
질젤,2.22,17,0,1640,1,2.8,nkw-a001-01-000004754766380,766,27885
질건조증젤,0.19,1,0,2145,0,2,nkw-a001-01-000004754766383,553,2145
속젤,2.15,7,0,1766,0,1.1,nkw-a001-01-000004754766384,327,12364
나이트젤,0.64,15,0,1534,1,2.2,nkw-a001-01-000004754766385,2362,23012
부부윤활제,3.38,5,0,1991,0,2,nkw-a001-01-000004754766390,148,9955
섹스오일,6.95,35,0,767,0,1,nkw-a001-01-000004754766391,504,26862
논오일,1.41,3,0,1148,0,1.2,nkw-a001-01-000004754766393,214,3443
바디젤,0.46,6,0,1859,0,1.2,nkw-a001-01-000004754766394,1312,11154
올리브영젤,0.04,1,0,924,0,1,nkw-a001-01-000004754766397,2818,924
유기농마사지젤,0,0,0,0,0,1,nkw-a001-01-000004754766399,9,0
PEPE젤,1.93,1,0,528,0,1,nkw-a001-01-000004754766400,52,528
윤활제추천,0,0,0,0,0,1.3,nkw-a001-01-000004754766401,330,0
질마사지,0,0,0,0,0,1,nkw-a001-01-000004754766402,280,0
유기농젤,0,0,0,0,0,1,nkw-a001-01-000004754766403,74,0
질건조윤활제,1,7,0,2125,0,3.6,nkw-a001-01-000004754766404,706,14872
마사지젤추천,0,0,0,0,0,2,nkw-a001-01-000004754766407,458,0
올리브영윤활제,0.48,4,0,1524,0,1.1,nkw-a001-01-000004754766409,841,6094
질건조증윤활제,1.03,5,0,2191,0,4.3,nkw-a001-01-000004754766410,488,10956
LOVEGEL,0.78,1,0,726,0,1.1,nkw-a001-01-000004754766931,129,726
케어허젤,0,0,0,0,0,1,nkw-a001-01-000004754766932,419,0
PEPE,0.61,12,0,986,0,1.2,nkw-a001-01-000004754766933,1996,11836
질윤활,0,0,0,0,0,1.1,nkw-a001-01-000004754772216,39,0
Y존젤,2.29,7,0,1813,0,1,nkw-a001-01-000004754772220,307,12694
젤,0.09,96,0,1405,0,2.1,nkw-a001-01-000004754772223,107702,134860
마사지젤,0.12,2,0,2140,0,7.6,nkw-a001-01-000004754772228,1815,4279
